"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_val","iter_var"
"146","7.6","0",0.5,"n",0.5,0.0927020821687904,2.7,17.3,26,0.0614224861024591,1,"N"
"147","8.2","0",0.35,"n",0.35,0.159517997650982,1.5,21.2,20,0.0786203689154736,1,"N"
"148","8.8","0",0.35,"n",0.35,0.162089907445789,1.5,21.9,20,0.0861347362791,1,"N"
"149","9.4","0",0.235294117647059,"n",0.235294117647059,0.213415012161272,0.9,24.4,17,0.101598148942839,1,"N"
"150","10","0",0.48,"n",0.48,0.109042290389742,2.8,21.9,25,0.101598148942839,1,"N"
"151","7.1","1",0.04,"n",0.04,0.0993234245631586,2.5,17.3,25,0.0581388249819421,1,"N"
"152","7.6","1",0.0384615384615385,"n",0.0384615384615385,0.0927020821687904,2.7,17.3,26,0.0614224861024591,1,"N"
"153","8.2","1",0.05,"n",0.05,0.159517997650982,1.5,21.2,20,0.0786203689154736,1,"N"
"154","8.8","1",0.05,"n",0.05,0.162089907445789,1.5,21.9,20,0.0861347362791,1,"N"
"155","9.4","1",0.0588235294117647,"n",0.0588235294117647,0.213415012161272,0.9,24.4,17,0.101598148942839,1,"N"
"156","10","1",0.04,"n",0.04,0.109042290389742,2.8,21.9,25,0.101598148942839,1,"N"
"157","7.1","2",0.48,"n",0.48,0.0993234245631586,2.5,17.3,25,0.0581388249819421,1,"N"
"158","7.6","2",0.461538461538462,"n",0.461538461538462,0.0927020821687904,2.7,17.3,26,0.0614224861024591,1,"N"
"159","8.2","2",0.6,"n",0.6,0.159517997650982,1.5,21.2,20,0.0786203689154736,1,"N"
"160","8.8","2",0.6,"n",0.6,0.162089907445789,1.5,21.9,20,0.0861347362791,1,"N"
"161","9.4","2",0.705882352941177,"n",0.705882352941177,0.213415012161272,0.9,24.4,17,0.101598148942839,1,"N"
"162","10","2",0.48,"n",0.48,0.109042290389742,2.8,21.9,25,0.101598148942839,1,"N"
"163","7.1","0",0,"a",0,0.0993234245631586,2.5,17.3,25,0.0581388249819421,1,"N"
"164","7.6","0",0,"a",0,0.0927020821687904,2.7,17.3,26,0.0614224861024591,1,"N"
"165","8.2","0",0,"a",0,0.159517997650982,1.5,21.2,20,0.0786203689154736,1,"N"
"166","8.8","0",0,"a",0,0.162089907445789,1.5,21.9,20,0.0861347362791,1,"N"
"167","9.4","0",0,"a",0,0.213415012161272,0.9,24.4,17,0.101598148942839,1,"N"
