"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_index","Bn","ka","dn0","more_nat_preds_cat"
"115","7.1","1",0,"n",0,0.0163170175280009,12.1,0,59,0.0311725499148007,4,0.3,1.3,1,1
"116","7.6","1",0,"n",0,0.0167621983387647,12.7,0,59,0.0343668304006612,4,0.3,1.3,1,1
"117","8.2","1",0,"n",0,0.0172627868468038,13.3,0,59,0.0381679630716228,4,0.3,1.3,1,1
"118","8.8","1",0,"n",0,0.0177533360414113,13.9,0,59,0.0423166738783245,4,0.3,1.3,1,1
"119","9.4","1",0,"n",0,0.0179491327669952,14.7,0,59,0.0476171100417174,4,0.3,1.3,1,1
"120","10","1",0,"n",0,0.0184550855233583,15.3,0,59,0.0534109833298757,4,0.3,1.3,1,1
"121","7.1","2",1,"n",0.0847457627118644,0.0163170175280009,12.1,0,59,0.0311725499148007,4,0.3,1.3,1,1
"122","7.6","2",1,"n",0.0847457627118644,0.0167621983387647,12.7,0,59,0.0343668304006612,4,0.3,1.3,1,1
"123","8.2","2",1,"n",0.0847457627118644,0.0172627868468038,13.3,0,59,0.0381679630716228,4,0.3,1.3,1,1
"124","8.8","2",1,"n",0.0847457627118644,0.0177533360414113,13.9,0,59,0.0423166738783245,4,0.3,1.3,1,1
"125","9.4","2",1,"n",0.0847457627118644,0.0179491327669952,14.7,0,59,0.0476171100417174,4,0.3,1.3,1,1
"126","10","2",0.727272727272727,"n",0.135593220338983,0.0184550855233583,15.3,0,59,0.0534109833298757,4,0.3,1.3,1,1
"127","7.1","0",0.851851851851852,"a",0.779661016949153,0.0163170175280009,12.1,0,59,0.0311725499148007,4,0.3,1.3,1,1
"128","7.6","0",0.851851851851852,"a",0.779661016949153,0.0167621983387647,12.7,0,59,0.0343668304006612,4,0.3,1.3,1,1
"129","8.2","0",0.851851851851852,"a",0.779661016949153,0.0172627868468038,13.3,0,59,0.0381679630716228,4,0.3,1.3,1,1
"130","8.8","0",0.851851851851852,"a",0.779661016949153,0.0177533360414113,13.9,0,59,0.0423166738783245,4,0.3,1.3,1,1
"131","9.4","0",0.833333333333333,"a",0.76271186440678,0.0179491327669952,14.7,0,59,0.0476171100417174,4,0.3,1.3,1,1
"132","10","0",0.875,"a",0.711864406779661,0.0184550855233583,15.3,0,59,0.0534109833298757,4,0.3,1.3,1,1
"133","7.1","1",0.0185185185185185,"a",0.0169491525423729,0.0163170175280009,12.1,0,59,0.0311725499148007,4,0.3,1.3,1,1
"134","7.6","1",0.0185185185185185,"a",0.0169491525423729,0.0167621983387647,12.7,0,59,0.0343668304006612,4,0.3,1.3,1,1
"135","8.2","1",0.0185185185185185,"a",0.0169491525423729,0.0172627868468038,13.3,0,59,0.0381679630716228,4,0.3,1.3,1,1
"136","8.8","1",0.0185185185185185,"a",0.0169491525423729,0.0177533360414113,13.9,0,59,0.0423166738783245,4,0.3,1.3,1,1
"137","9.4","1",0.0555555555555556,"a",0.0508474576271186,0.0179491327669952,14.7,0,59,0.0476171100417174,4,0.3,1.3,1,1
"138","10","1",0.0625,"a",0.0508474576271186,0.0184550855233583,15.3,0,59,0.0534109833298757,4,0.3,1.3,1,1
"139","7.1","2",0.12962962962963,"a",0.11864406779661,0.0163170175280009,12.1,0,59,0.0311725499148007,4,0.3,1.3,1,1
"140","7.6","2",0.12962962962963,"a",0.11864406779661,0.0167621983387647,12.7,0,59,0.0343668304006612,4,0.3,1.3,1,1
"141","8.2","2",0.12962962962963,"a",0.11864406779661,0.0172627868468038,13.3,0,59,0.0381679630716228,4,0.3,1.3,1,1
"142","8.8","2",0.12962962962963,"a",0.11864406779661,0.0177533360414113,13.9,0,59,0.0423166738783245,4,0.3,1.3,1,1
"143","9.4","2",0.111111111111111,"a",0.101694915254237,0.0179491327669952,14.7,0,59,0.0476171100417174,4,0.3,1.3,1,1
"144","10","2",0.0625,"a",0.0508474576271186,0.0184550855233583,15.3,0,59,0.0534109833298757,4,0.3,1.3,1,1
"145","7.1","0",0.818181818181818,"n",0.76271186440678,0.0222581329382209,12,0,59,0.0311851913721551,5,0.1,1.3,1,1
"146","7.6","0",0.851851851851852,"n",0.779661016949153,0.0234908221431169,12.4,0,59,0.0337765233789175,5,0.1,1.3,1,1
"147","8.2","0",0.851851851851852,"n",0.779661016949153,0.0244629916006987,13,0,59,0.0375177058284268,5,0.1,1.3,1,1
"148","8.8","0",0.851851851851852,"n",0.779661016949153,0.025426438904608,13.6,0,59,0.041602127809818,5,0.1,1.3,1,1
"149","9.4","0",0.818181818181818,"n",0.76271186440678,0.0259844044135891,14.4,0,59,0.0472130316393235,5,0.1,1.3,1,1
"150","10","0",0.818181818181818,"n",0.76271186440678,0.0269350528081072,15.3,0,59,0.0534109833298757,5,0.1,1.3,1,1
"151","7.1","1",0.0363636363636364,"n",0.0338983050847458,0.0222581329382209,12,0,59,0.0311851913721551,5,0.1,1.3,1,1
"152","7.6","1",0,"n",0,0.0234908221431169,12.4,0,59,0.0337765233789175,5,0.1,1.3,1,1
"153","8.2","1",0,"n",0,0.0244629916006987,13,0,59,0.0375177058284268,5,0.1,1.3,1,1
"154","8.8","1",0,"n",0,0.025426438904608,13.6,0,59,0.041602127809818,5,0.1,1.3,1,1
"155","9.4","1",0.0363636363636364,"n",0.0338983050847458,0.0259844044135891,14.4,0,59,0.0472130316393235,5,0.1,1.3,1,1
"156","10","1",0.0363636363636364,"n",0.0338983050847458,0.0269350528081072,15.3,0,59,0.0534109833298757,5,0.1,1.3,1,1
"157","7.1","2",0.145454545454545,"n",0.135593220338983,0.0222581329382209,12,0,59,0.0311851913721551,5,0.1,1.3,1,1
"158","7.6","2",0.148148148148148,"n",0.135593220338983,0.0234908221431169,12.4,0,59,0.0337765233789175,5,0.1,1.3,1,1
"159","8.2","2",0.148148148148148,"n",0.135593220338983,0.0244629916006987,13,0,59,0.0375177058284268,5,0.1,1.3,1,1
"160","8.8","2",0.148148148148148,"n",0.135593220338983,0.025426438904608,13.6,0,59,0.041602127809818,5,0.1,1.3,1,1
"161","9.4","2",0.145454545454545,"n",0.135593220338983,0.0259844044135891,14.4,0,59,0.0472130316393235,5,0.1,1.3,1,1
"162","10","2",0.145454545454545,"n",0.135593220338983,0.0269350528081072,15.3,0,59,0.0534109833298757,5,0.1,1.3,1,1
"163","7.1","0",0,"a",0,0.0222581329382209,12,0,59,0.0311851913721551,5,0.1,1.3,1,1
"164","7.6","0",0,"a",0,0.0234908221431169,12.4,0,59,0.0337765233789175,5,0.1,1.3,1,1
"165","8.2","0",0,"a",0,0.0244629916006987,13,0,59,0.0375177058284268,5,0.1,1.3,1,1
"166","8.8","0",0,"a",0,0.025426438904608,13.6,0,59,0.041602127809818,5,0.1,1.3,1,1
"167","9.4","0",0,"a",0,0.0259844044135891,14.4,0,59,0.0472130316393235,5,0.1,1.3,1,1
"168","10","0",0,"a",0,0.0269350528081072,15.3,0,59,0.0534109833298757,5,0.1,1.3,1,1
"169","7.1","1",0.25,"a",0.0169491525423729,0.0222581329382209,12,0,59,0.0311851913721551,5,0.1,1.3,1,1
"170","7.6","1",0.2,"a",0.0169491525423729,0.0234908221431169,12.4,0,59,0.0337765233789175,5,0.1,1.3,1,1
"171","8.2","1",0.2,"a",0.0169491525423729,0.0244629916006987,13,0,59,0.0375177058284268,5,0.1,1.3,1,1
"172","8.8","1",0.2,"a",0.0169491525423729,0.025426438904608,13.6,0,59,0.041602127809818,5,0.1,1.3,1,1
"173","9.4","1",0.25,"a",0.0169491525423729,0.0259844044135891,14.4,0,59,0.0472130316393235,5,0.1,1.3,1,1
"174","10","1",0.25,"a",0.0169491525423729,0.0269350528081072,15.3,0,59,0.0534109833298757,5,0.1,1.3,1,1
"175","7.1","2",0.75,"a",0.0508474576271186,0.0222581329382209,12,0,59,0.0311851913721551,5,0.1,1.3,1,1
"176","7.6","2",0.8,"a",0.0677966101694915,0.0234908221431169,12.4,0,59,0.0337765233789175,5,0.1,1.3,1,1
"177","8.2","2",0.8,"a",0.0677966101694915,0.0244629916006987,13,0,59,0.0375177058284268,5,0.1,1.3,1,1
"178","8.8","2",0.8,"a",0.0677966101694915,0.025426438904608,13.6,0,59,0.041602127809818,5,0.1,1.3,1,1
"179","9.4","2",0.75,"a",0.0508474576271186,0.0259844044135891,14.4,0,59,0.0472130316393235,5,0.1,1.3,1,1
"180","10","2",0.75,"a",0.0508474576271186,0.0269350528081072,15.3,0,59,0.0534109833298757,5,0.1,1.3,1,1
"181","7.1","0",0,"n",0,0.0139754254115289,10.9,0,59,0.0279864343182139,6,1,1.2,1,1
