"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"103","10","1",0.0625,"a",0.0169491525423729,0.0214178744275327,15.4,0,59,0.052999514185488,0.2,"Bn","null"
"104","11.4","1",0.111111111111111,"a",0.0169491525423729,0.0234330243191646,17.5,0,59,0.0697598688278359,0.2,"Bn","null"
"105","12.8","1",0.125,"a",0.0169491525423729,0.0247764987369401,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"106","14.3","1",0.125,"a",0.0169491525423729,0.0260677272422338,20.3,0,59,0.103729602914384,0.2,"Bn","null"
"107","15.7","1",0.25,"a",0.0338983050847458,0.0266807338470929,21.9,0,59,0.12201553628296,0.2,"Bn","null"
"108","17.1","1",0.125,"a",0.0169491525423729,0.0281680417133996,23.4,0,59,0.142392131379764,0.2,"Bn","null"
"109","18.6","1",0.125,"a",0.0169491525423729,0.0290876884688438,24.7,0,59,0.16202948953152,0.2,"Bn","null"
"110","20","1",0.125,"a",0.0169491525423729,0.0299015927244554,25.9,0,59,0.179574072133448,0.2,"Bn","null"
"111","7.1","2",0.636363636363636,"a",0.11864406779661,0.0179815480370387,12.1,0,59,0.0311725499148007,0.2,"Bn","null"
"112","8.5","2",0.875,"a",0.11864406779661,0.0197431975837992,13.5,0,59,0.0398533891126368,0.2,"Bn","null"
"113","10","2",0.4375,"a",0.11864406779661,0.0214178744275327,15.4,0,59,0.052999514185488,0.2,"Bn","null"
"114","11.4","2",0.777777777777778,"a",0.11864406779661,0.0234330243191646,17.5,0,59,0.0697598688278359,0.2,"Bn","null"
"115","12.8","2",0.875,"a",0.11864406779661,0.0247764987369401,18.8,0,59,0.0849075506403212,0.2,"Bn","null"
"116","14.3","2",0.875,"a",0.11864406779661,0.0260677272422338,20.3,0,59,0.103729602914384,0.2,"Bn","null"
"117","15.7","2",0.75,"a",0.101694915254237,0.0266807338470929,21.9,0,59,0.12201553628296,0.2,"Bn","null"
"118","17.1","2",0.875,"a",0.11864406779661,0.0281680417133996,23.4,0,59,0.142392131379764,0.2,"Bn","null"
"119","18.6","2",0.875,"a",0.11864406779661,0.0290876884688438,24.7,0,59,0.16202948953152,0.2,"Bn","null"
"120","20","2",0.875,"a",0.11864406779661,0.0299015927244554,25.9,0,59,0.179574072133448,0.2,"Bn","null"
"121","7.1","0",0,"n",0,0.0163234886626499,12.1,0,59,0.0311725499148007,0.3,"Bn","null"
"122","8.5","0",0,"n",0,0.0174861131873571,13.5,0,59,0.0398533891126368,0.3,"Bn","null"
"123","10","0",0.333333333333333,"n",0.0508474576271186,0.0184431132074414,15.6,0,59,0.0538677485212409,0.3,"Bn","null"
"124","11.4","0",0.6875,"n",0.186440677966102,0.0199386806344668,17.5,0,59,0.0697598688278359,0.3,"Bn","null"
"125","12.8","0",0.761904761904762,"n",0.271186440677966,0.0208203212087565,18.8,0,59,0.0849075506403212,0.3,"Bn","null"
"126","14.3","0",0.807692307692308,"n",0.355932203389831,0.0217175426101628,20.3,0,59,0.103729602914384,0.3,"Bn","null"
"127","15.7","0",0.68,"n",0.288135593220339,0.0222121548289762,21.3,0,59,0.121669483062769,0.3,"Bn","null"
"128","17.1","0",0.833333333333333,"n",0.508474576271186,0.0228781775843139,23.8,0,59,0.145218145901986,0.3,"Bn","null"
"129","18.6","0",0.871794871794872,"n",0.576271186440678,0.0239231207351863,24.8,0,59,0.162720448519323,0.3,"Bn","null"
"130","20","0",0.883720930232558,"n",0.644067796610169,0.0245608084161122,26.2,0,59,0.181530455138868,0.3,"Bn","null"
"131","7.1","1",0,"n",0,0.0163234886626499,12.1,0,59,0.0311725499148007,0.3,"Bn","null"
"132","8.5","1",0,"n",0,0.0174861131873571,13.5,0,59,0.0398533891126368,0.3,"Bn","null"
"133","10","1",0.111111111111111,"n",0.0169491525423729,0.0184431132074414,15.6,0,59,0.0538677485212409,0.3,"Bn","null"
"134","11.4","1",0,"n",0,0.0199386806344668,17.5,0,59,0.0697598688278359,0.3,"Bn","null"
"135","12.8","1",0,"n",0,0.0208203212087565,18.8,0,59,0.0849075506403212,0.3,"Bn","null"
"136","14.3","1",0,"n",0,0.0217175426101628,20.3,0,59,0.103729602914384,0.3,"Bn","null"
"137","15.7","1",0,"n",0,0.0222121548289762,21.3,0,59,0.121669483062769,0.3,"Bn","null"
"138","17.1","1",0.0277777777777778,"n",0.0169491525423729,0.0228781775843139,23.8,0,59,0.145218145901986,0.3,"Bn","null"
"139","18.6","1",0,"n",0,0.0239231207351863,24.8,0,59,0.162720448519323,0.3,"Bn","null"
"140","20","1",0,"n",0,0.0245608084161122,26.2,0,59,0.181530455138868,0.3,"Bn","null"
"141","7.1","2",1,"n",0.0847457627118644,0.0163234886626499,12.1,0,59,0.0311725499148007,0.3,"Bn","null"
"142","8.5","2",1,"n",0.0847457627118644,0.0174861131873571,13.5,0,59,0.0398533891126368,0.3,"Bn","null"
"143","10","2",0.555555555555556,"n",0.0847457627118644,0.0184431132074414,15.6,0,59,0.0538677485212409,0.3,"Bn","null"
"144","11.4","2",0.3125,"n",0.0847457627118644,0.0199386806344668,17.5,0,59,0.0697598688278359,0.3,"Bn","null"
"145","12.8","2",0.238095238095238,"n",0.0847457627118644,0.0208203212087565,18.8,0,59,0.0849075506403212,0.3,"Bn","null"
"146","14.3","2",0.192307692307692,"n",0.0847457627118644,0.0217175426101628,20.3,0,59,0.103729602914384,0.3,"Bn","null"
"147","15.7","2",0.32,"n",0.135593220338983,0.0222121548289762,21.3,0,59,0.121669483062769,0.3,"Bn","null"
"148","17.1","2",0.138888888888889,"n",0.0847457627118644,0.0228781775843139,23.8,0,59,0.145218145901986,0.3,"Bn","null"
"149","18.6","2",0.128205128205128,"n",0.0847457627118644,0.0239231207351863,24.8,0,59,0.162720448519323,0.3,"Bn","null"
"150","20","2",0.116279069767442,"n",0.0847457627118644,0.0245608084161122,26.2,0,59,0.181530455138868,0.3,"Bn","null"
"151","7.1","0",0.851851851851852,"a",0.779661016949153,0.0163234886626499,12.1,0,59,0.0311725499148007,0.3,"Bn","null"
"152","8.5","0",0.851851851851852,"a",0.779661016949153,0.0174861131873571,13.5,0,59,0.0398533891126368,0.3,"Bn","null"
"153","10","0",0.84,"a",0.711864406779661,0.0184431132074414,15.6,0,59,0.0538677485212409,0.3,"Bn","null"
"154","11.4","0",0.813953488372093,"a",0.593220338983051,0.0199386806344668,17.5,0,59,0.0697598688278359,0.3,"Bn","null"
"155","12.8","0",0.789473684210526,"a",0.508474576271186,0.0208203212087565,18.8,0,59,0.0849075506403212,0.3,"Bn","null"
"156","14.3","0",0.757575757575758,"a",0.423728813559322,0.0217175426101628,20.3,0,59,0.103729602914384,0.3,"Bn","null"
"157","15.7","0",0.852941176470588,"a",0.491525423728814,0.0222121548289762,21.3,0,59,0.121669483062769,0.3,"Bn","null"
"158","17.1","0",0.652173913043478,"a",0.254237288135593,0.0228781775843139,23.8,0,59,0.145218145901986,0.3,"Bn","null"
"159","18.6","0",0.6,"a",0.203389830508475,0.0239231207351863,24.8,0,59,0.162720448519323,0.3,"Bn","null"
"160","20","0",0.5,"a",0.135593220338983,0.0245608084161122,26.2,0,59,0.181530455138868,0.3,"Bn","null"
"161","7.1","1",0.0185185185185185,"a",0.0169491525423729,0.0163234886626499,12.1,0,59,0.0311725499148007,0.3,"Bn","null"
"162","8.5","1",0.0185185185185185,"a",0.0169491525423729,0.0174861131873571,13.5,0,59,0.0398533891126368,0.3,"Bn","null"
"163","10","1",0.04,"a",0.0338983050847458,0.0184431132074414,15.6,0,59,0.0538677485212409,0.3,"Bn","null"
"164","11.4","1",0.0232558139534884,"a",0.0169491525423729,0.0199386806344668,17.5,0,59,0.0697598688278359,0.3,"Bn","null"
"165","12.8","1",0.0263157894736842,"a",0.0169491525423729,0.0208203212087565,18.8,0,59,0.0849075506403212,0.3,"Bn","null"
"166","14.3","1",0.0303030303030303,"a",0.0169491525423729,0.0217175426101628,20.3,0,59,0.103729602914384,0.3,"Bn","null"
"167","15.7","1",0.0294117647058824,"a",0.0169491525423729,0.0222121548289762,21.3,0,59,0.121669483062769,0.3,"Bn","null"
"168","17.1","1",0.0869565217391304,"a",0.0338983050847458,0.0228781775843139,23.8,0,59,0.145218145901986,0.3,"Bn","null"
"169","18.6","1",0.05,"a",0.0169491525423729,0.0239231207351863,24.8,0,59,0.162720448519323,0.3,"Bn","null"
"170","20","1",0.0625,"a",0.0169491525423729,0.0245608084161122,26.2,0,59,0.181530455138868,0.3,"Bn","null"
"171","7.1","2",0.12962962962963,"a",0.11864406779661,0.0163234886626499,12.1,0,59,0.0311725499148007,0.3,"Bn","null"
"172","8.5","2",0.12962962962963,"a",0.11864406779661,0.0174861131873571,13.5,0,59,0.0398533891126368,0.3,"Bn","null"
"173","10","2",0.12,"a",0.101694915254237,0.0184431132074414,15.6,0,59,0.0538677485212409,0.3,"Bn","null"
"174","11.4","2",0.162790697674419,"a",0.11864406779661,0.0199386806344668,17.5,0,59,0.0697598688278359,0.3,"Bn","null"
"175","12.8","2",0.184210526315789,"a",0.11864406779661,0.0208203212087565,18.8,0,59,0.0849075506403212,0.3,"Bn","null"
"176","14.3","2",0.212121212121212,"a",0.11864406779661,0.0217175426101628,20.3,0,59,0.103729602914384,0.3,"Bn","null"
"177","15.7","2",0.117647058823529,"a",0.0677966101694915,0.0222121548289762,21.3,0,59,0.121669483062769,0.3,"Bn","null"
"178","17.1","2",0.260869565217391,"a",0.101694915254237,0.0228781775843139,23.8,0,59,0.145218145901986,0.3,"Bn","null"
"179","18.6","2",0.35,"a",0.11864406779661,0.0239231207351863,24.8,0,59,0.162720448519323,0.3,"Bn","null"
"180","20","2",0.4375,"a",0.11864406779661,0.0245608084161122,26.2,0,59,0.181530455138868,0.3,"Bn","null"
"181","7.1","0",0.444444444444444,"n",0.0677966101694915,0.016097774839279,12.1,0,59,0.0311725499148007,0.4,"Bn","null"
