"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"162","8.5","1",0,"a",0,0.0465130170948685,13.6,0,59,0.0390839774090343,0.5,"yn","null"
"163","10","1",0,"a",0,0.0488823000945947,15.8,0,59,0.0532525310736428,0.5,"yn","null"
"164","11.4","1",0,"a",0,0.0504930395057498,18,0,59,0.0704709989736106,0.5,"yn","null"
"165","12.8","1",0,"a",0,0.0519098141830725,19.3,0,59,0.0855585724608011,0.5,"yn","null"
"166","14.3","1",0.333333333333333,"a",0.0169491525423729,0.0535484615648827,20.3,0,59,0.101661764021184,0.5,"yn","null"
"167","15.7","1",0,"a",0,0.0543763884399373,22.3,0,59,0.12286802119634,0.5,"yn","null"
"168","17.1","1",0,"a",0,0.055547620368586,24.1,0,59,0.144852779089959,0.5,"yn","null"
"169","18.6","1",0,"a",0,0.0574977579141475,25.1,0,59,0.16183123953904,0.5,"yn","null"
"170","20","1",0,"a",0,0.0579445315291612,26.6,0,59,0.180589371227661,0.5,"yn","null"
"171","7.1","2",1,"a",0.0508474576271186,0.0440739646877798,12.3,0,59,0.0308423858115958,0.5,"yn","null"
"172","8.5","2",1,"a",0.0508474576271186,0.0465130170948685,13.6,0,59,0.0390839774090343,0.5,"yn","null"
"173","10","2",1,"a",0.0508474576271186,0.0488823000945947,15.8,0,59,0.0532525310736428,0.5,"yn","null"
"174","11.4","2",1,"a",0.0508474576271186,0.0504930395057498,18,0,59,0.0704709989736106,0.5,"yn","null"
"175","12.8","2",1,"a",0.0508474576271186,0.0519098141830725,19.3,0,59,0.0855585724608011,0.5,"yn","null"
"176","14.3","2",0.666666666666667,"a",0.0338983050847458,0.0535484615648827,20.3,0,59,0.101661764021184,0.5,"yn","null"
"177","15.7","2",1,"a",0.0508474576271186,0.0543763884399373,22.3,0,59,0.12286802119634,0.5,"yn","null"
"178","17.1","2",1,"a",0.0508474576271186,0.055547620368586,24.1,0,59,0.144852779089959,0.5,"yn","null"
"179","18.6","2",1,"a",0.0508474576271186,0.0574977579141475,25.1,0,59,0.16183123953904,0.5,"yn","null"
"180","20","2",1,"a",0.0508474576271186,0.0579445315291612,26.6,0,59,0.180589371227661,0.5,"yn","null"
"181","7.1","0",0.785714285714286,"n",0.745762711864407,0.014244305214003,12.3,0,59,0.0308423858115958,0.7,"yn","null"
"182","8.5","0",0.785714285714286,"n",0.745762711864407,0.0153231904735791,13.6,0,59,0.0390839774090343,0.7,"yn","null"
"183","10","0",0.785714285714286,"n",0.745762711864407,0.0163984271628482,15.8,0,59,0.0532525310736428,0.7,"yn","null"
"184","11.4","0",0.785714285714286,"n",0.745762711864407,0.0174356017140598,17.8,0,59,0.069425288335523,0.7,"yn","null"
"185","12.8","0",0.785714285714286,"n",0.745762711864407,0.0181085449951055,19.1,0,59,0.0843816690412678,0.7,"yn","null"
"186","14.3","0",0.785714285714286,"n",0.745762711864407,0.0186546944724208,20.3,0,59,0.101661764021184,0.7,"yn","null"
"187","15.7","0",0.785714285714286,"n",0.745762711864407,0.019351469594303,22,0,59,0.120828110653099,0.7,"yn","null"
"188","17.1","0",0.785714285714286,"n",0.745762711864407,0.0199665012237136,23.7,0,59,0.14210182265998,0.7,"yn","null"
"189","18.6","0",0.785714285714286,"n",0.745762711864407,0.0204630555133963,25.1,0,59,0.16183123953904,0.7,"yn","null"
"190","20","0",0.785714285714286,"n",0.745762711864407,0.0206853834320658,26.6,0,59,0.180589371227661,0.7,"yn","null"
"191","7.1","1",0.0892857142857143,"n",0.0847457627118644,0.014244305214003,12.3,0,59,0.0308423858115958,0.7,"yn","null"
"192","8.5","1",0.0892857142857143,"n",0.0847457627118644,0.0153231904735791,13.6,0,59,0.0390839774090343,0.7,"yn","null"
"193","10","1",0.0892857142857143,"n",0.0847457627118644,0.0163984271628482,15.8,0,59,0.0532525310736428,0.7,"yn","null"
"194","11.4","1",0.0892857142857143,"n",0.0847457627118644,0.0174356017140598,17.8,0,59,0.069425288335523,0.7,"yn","null"
"195","12.8","1",0.0892857142857143,"n",0.0847457627118644,0.0181085449951055,19.1,0,59,0.0843816690412678,0.7,"yn","null"
"196","14.3","1",0.0714285714285714,"n",0.0677966101694915,0.0186546944724208,20.3,0,59,0.101661764021184,0.7,"yn","null"
"197","15.7","1",0.0892857142857143,"n",0.0847457627118644,0.019351469594303,22,0,59,0.120828110653099,0.7,"yn","null"
"198","17.1","1",0.0892857142857143,"n",0.0847457627118644,0.0199665012237136,23.7,0,59,0.14210182265998,0.7,"yn","null"
"199","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.0204630555133963,25.1,0,59,0.16183123953904,0.7,"yn","null"
"200","20","1",0.0892857142857143,"n",0.0847457627118644,0.0206853834320658,26.6,0,59,0.180589371227661,0.7,"yn","null"
"201","7.1","2",0.125,"n",0.11864406779661,0.014244305214003,12.3,0,59,0.0308423858115958,0.7,"yn","null"
"202","8.5","2",0.125,"n",0.11864406779661,0.0153231904735791,13.6,0,59,0.0390839774090343,0.7,"yn","null"
"203","10","2",0.125,"n",0.11864406779661,0.0163984271628482,15.8,0,59,0.0532525310736428,0.7,"yn","null"
"204","11.4","2",0.125,"n",0.11864406779661,0.0174356017140598,17.8,0,59,0.069425288335523,0.7,"yn","null"
"205","12.8","2",0.125,"n",0.11864406779661,0.0181085449951055,19.1,0,59,0.0843816690412678,0.7,"yn","null"
"206","14.3","2",0.142857142857143,"n",0.135593220338983,0.0186546944724208,20.3,0,59,0.101661764021184,0.7,"yn","null"
"207","15.7","2",0.125,"n",0.11864406779661,0.019351469594303,22,0,59,0.120828110653099,0.7,"yn","null"
"208","17.1","2",0.125,"n",0.11864406779661,0.0199665012237136,23.7,0,59,0.14210182265998,0.7,"yn","null"
"209","18.6","2",0.125,"n",0.11864406779661,0.0204630555133963,25.1,0,59,0.16183123953904,0.7,"yn","null"
"210","20","2",0.125,"n",0.11864406779661,0.0206853834320658,26.6,0,59,0.180589371227661,0.7,"yn","null"
"211","7.1","0",0,"a",0,0.014244305214003,12.3,0,59,0.0308423858115958,0.7,"yn","null"
"212","8.5","0",0,"a",0,0.0153231904735791,13.6,0,59,0.0390839774090343,0.7,"yn","null"
"213","10","0",0,"a",0,0.0163984271628482,15.8,0,59,0.0532525310736428,0.7,"yn","null"
"214","11.4","0",0,"a",0,0.0174356017140598,17.8,0,59,0.069425288335523,0.7,"yn","null"
"215","12.8","0",0,"a",0,0.0181085449951055,19.1,0,59,0.0843816690412678,0.7,"yn","null"
"216","14.3","0",0,"a",0,0.0186546944724208,20.3,0,59,0.101661764021184,0.7,"yn","null"
"217","15.7","0",0,"a",0,0.019351469594303,22,0,59,0.120828110653099,0.7,"yn","null"
"218","17.1","0",0,"a",0,0.0199665012237136,23.7,0,59,0.14210182265998,0.7,"yn","null"
"219","18.6","0",0,"a",0,0.0204630555133963,25.1,0,59,0.16183123953904,0.7,"yn","null"
"220","20","0",0,"a",0,0.0206853834320658,26.6,0,59,0.180589371227661,0.7,"yn","null"
"221","7.1","1",0,"a",0,0.014244305214003,12.3,0,59,0.0308423858115958,0.7,"yn","null"
"222","8.5","1",0,"a",0,0.0153231904735791,13.6,0,59,0.0390839774090343,0.7,"yn","null"
"223","10","1",0,"a",0,0.0163984271628482,15.8,0,59,0.0532525310736428,0.7,"yn","null"
"224","11.4","1",0,"a",0,0.0174356017140598,17.8,0,59,0.069425288335523,0.7,"yn","null"
"225","12.8","1",0,"a",0,0.0181085449951055,19.1,0,59,0.0843816690412678,0.7,"yn","null"
"226","14.3","1",0.333333333333333,"a",0.0169491525423729,0.0186546944724208,20.3,0,59,0.101661764021184,0.7,"yn","null"
"227","15.7","1",0,"a",0,0.019351469594303,22,0,59,0.120828110653099,0.7,"yn","null"
"228","17.1","1",0,"a",0,0.0199665012237136,23.7,0,59,0.14210182265998,0.7,"yn","null"
"229","18.6","1",0,"a",0,0.0204630555133963,25.1,0,59,0.16183123953904,0.7,"yn","null"
"230","20","1",0,"a",0,0.0206853834320658,26.6,0,59,0.180589371227661,0.7,"yn","null"
"231","7.1","2",1,"a",0.0508474576271186,0.014244305214003,12.3,0,59,0.0308423858115958,0.7,"yn","null"
"232","8.5","2",1,"a",0.0508474576271186,0.0153231904735791,13.6,0,59,0.0390839774090343,0.7,"yn","null"
"233","10","2",1,"a",0.0508474576271186,0.0163984271628482,15.8,0,59,0.0532525310736428,0.7,"yn","null"
"234","11.4","2",1,"a",0.0508474576271186,0.0174356017140598,17.8,0,59,0.069425288335523,0.7,"yn","null"
"235","12.8","2",1,"a",0.0508474576271186,0.0181085449951055,19.1,0,59,0.0843816690412678,0.7,"yn","null"
"236","14.3","2",0.666666666666667,"a",0.0338983050847458,0.0186546944724208,20.3,0,59,0.101661764021184,0.7,"yn","null"
