"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","yn","Bn","ka","dn0"
"720",60,"10",26,"o",NA,NA,NA,NA,37.2,1,1,1.3,0.28
"721",1,"7.1",1,"a",0.898505281250929,0.000177116992017279,0,0.898505281250929,7.1,1,1,1.3,0.46
"722",2,"7.1",1,"a",0.898863170195976,0.000197124041130499,0,0.807633305543037,7.3,1,1,1.3,0.46
"723",3,"7.1",1,"a",0.899208000325557,0.000219303724600843,0,0.726230329673674,7.5,1,1,1.3,0.46
"724",4,"7.1",1,"a",0.899540576564082,0.000243885424197121,0,0.65327364947298,7.7,1,1,1.3,0.46
"725",5,"7.1",1,"a",0.89986163498859,0.000271122204546541,0,0.587855894309719,7.9,1,1,1.3,0.46
"726",6,"7.1",1,"a",0.900171850281655,0.000301293214428437,0,0.529171328079757,8.1,1,1,1.3,0.46
"727",7,"7.1",1,"a",0.900471842216336,0.000334706327835252,0,0.476503880644043,8.3,1,1,1.3,0.46
"728",8,"7.1",1,"a",0.90076218131879,0.00037170104843194,0,0.429216674935797,8.5,1,1,1.3,0.46
"729",9,"7.1",1,"a",0.901043393829497,0.000412651703347202,0,0.386742849472362,8.7,1,1,1.3,0.46
"730",10,"7.1",1,"a",0.890505909600674,0.000457970954754358,1,0.344396792950942,8.9,1,1,1.3,0.46
"731",11,"7.1",2,"a",0.901449154089272,0.000514281769291935,2,0.310456197676685,9,1,1,1.3,0.46
"732",12,"7.1",4,"n",0.901449154089272,0.000570505576447637,2,0.27986047677742,9,1,1,1.3,0.46
"733",13,"7.1",6,"n",0.901449154089272,0.000632876046152614,2,0.252279990054026,9,1,1,1.3,0.46
"734",14,"7.1",8,"n",0.901449154089272,0.000702065161725071,2,0.227417583627851,9,1,1,1.3,0.46
"735",15,"7.1",10,"a",0.901449154089272,0.000778818370997711,2,0.205005388386353,9,1,1,1.3,0.46
"736",16,"7.1",12,"a",0.901449154089272,0.000863962617819022,2,0.18480193394462,9,1,1,1.3,0.46
"737",17,"7.1",14,"a",0.901449154089272,0.000958415251597721,2,0.16658954702844,9,1,1,1.3,0.46
"738",18,"7.1",16,"a",0.901449154089272,0.00106319391088231,2,0.150172006248902,9,1,1,1.3,0.46
"739",19,"7.1",18,"n",0.901449154089272,0.00117942748746206,2,0.135372428000962,9,1,1,1.3,0.46
"740",20,"7.1",20,"n",0.901449154089272,0.00130836828911734,2,0.122031360708478,9,1,1,1.3,0.46
"741",21,"7.1",22,"a",0.901449154089272,0.00145140553206152,2,0.11000506688302,9,1,1,1.3,0.46
"742",22,"7.1",24,"a",0.901449154089272,0.00161008030844275,2,0.0991639744872323,9,1,1,1.3,0.46
"743",23,"7.1",26,"o",0.901449154089272,0.00178610219016668,0,0.0893912809176457,9,1,1,1.3,0.46
"744",24,"7.1",26,"o",0.901836957959405,0.00198136764793037,0,0.0806163608508642,9.3,1,1,1.3,0.46
"745",25,"7.1",26,"o",0.902208140147447,0.00219703531823937,0,0.0727327369887137,9.6,1,1,1.3,0.46
"746",26,"7.1",26,"o",0.902563898421186,0.00243517567673499,0,0.0656459426393762,9.9,1,1,1.3,0.46
"747",27,"7.1",26,"o",0.902905311302148,0.00269806457027002,0,0.0592720702745289,10.2,1,1,1.3,0.46
"748",28,"7.1",26,"o",0.903233353029144,0.00298820323293805,0,0.0535365107750418,10.5,1,1,1.3,0.46
"749",29,"7.1",26,"o",0.903548906277751,0.00330834022339478,0,0.0483728557567161,10.8,1,1,1.3,0.46
"750",30,"7.1",26,"o",0.90385277302424,0.0036614954657228,0,0.0437219398148094,11.1,1,1,1.3,0.46
"751",31,"7.1",26,"o",0.904241003182327,0.0040509865931723,0,0.0395351707192206,11.5,1,1,1.3,0.46
"752",32,"7.1",26,"o",0.904611308720388,0.00447998551151244,0,0.0357639625247981,11.9,1,1,1.3,0.46
"753",33,"7.1",26,"o",0.904965077525625,0.00495238724999975,0,0.0323651371188774,12.3,1,1,1.3,0.46
"754",34,"7.1",26,"o",0.905303549355658,0.00547246227836844,0,0.0293002735091023,12.7,1,1,1.3,0.46
"755",35,"7.1",26,"o",0.905627835723606,0.00604489210526504,0,0.026535143284158,13.1,1,1,1.3,0.46
"756",36,"7.1",26,"o",0.905938936599268,0.00667480820135692,0,0.0240392194893593,13.5,1,1,1.3,0.46
"757",37,"7.1",26,"o",0.906310637255117,0.00736783455451529,0,0.0217870003345168,14,1,1,1.3,0.46
"758",38,"7.1",26,"o",0.906664717340745,0.00812948039187729,0,0.0197535044999974,14.5,1,1,1.3,0.46
"759",39,"7.1",26,"o",0.907002576277466,0.00896635794510801,0,0.0179164794720062,15,1,1,1.3,0.46
"760",40,"7.1",26,"o",0.9073254604215,0.00988570284100832,0,0.0162560779860704,15.5,1,1,1.3,0.46
"761",41,"7.1",26,"o",0.907634484104337,0.010895431983597,0,0.0147545769564468,16,1,1,1.3,0.46
"762",42,"7.1",26,"o",0.907930647225932,0.0120042067312468,0,0.0133961326056116,16.5,1,1,1.3,0.46
"763",43,"7.1",26,"o",0.908214850051089,0.0132215018492042,0,0.01216656656567,17,1,1,1.3,0.46
"764",44,"7.1",26,"o",0.908541245261571,0.0145576807607368,0,0.0110538275381317,17.6,1,1,1.3,0.46
"765",45,"7.1",26,"o",0.908852846007273,0.0160231369094814,0,0.0100463026173045,18.2,1,1,1.3,0.46
"766",46,"7.1",26,"o",0.909150777224254,0.017630067375454,0,0.00913360383275246,18.8,1,1,1.3,0.46
"767",47,"7.1",26,"o",0.9094360458919,0.0193917970672375,0,0.0083064285544015,19.4,1,1,1.3,0.46
"768",48,"7.1",26,"o",0.909709556596554,0.0213228815317295,0,0.00755643743712555,20,1,1,1.3,0.46
"769",49,"7.1",26,"o",0.909972124644679,0.0234392190090908,0,0.00687614742940572,20.6,1,1,1.3,0.46
"770",50,"7.1",26,"o",0.91022448717035,0.0257581725574762,0,0.00625883776763854,21.2,1,1,1.3,0.46
"771",51,"7.1",26,"o",0.910467312590964,0.0282987031447062,0,0.00569846720224469,21.8,1,1,1.3,0.46
"772",52,"7.1",26,"o",0.91070120869479,0.0310815146830204,0,0.00518960096879186,22.4,1,1,1.3,0.46
"773",53,"7.1",26,"o",0.910926729589099,0.0341292120689795,0,0.00472734623837399,23,1,1,1.3,0.46
"774",54,"7.1",26,"o",0.911144381694449,0.0374664733840607,0,0.00430729496541885,23.6,1,1,1.3,0.46
"775",55,"7.1",26,"o",0.911354628936667,0.041120237513164,0,0.00392547320493007,24.2,1,1,1.3,0.46
"776",56,"7.1",26,"o",0.91155789726081,0.0451199085488176,0,0.00357829610043971,24.8,1,1,1.3,0.46
"777",57,"7.1",26,"o",0.911754578569679,0.0494975784691251,0,0.00326252785305393,25.4,1,1,1.3,0.46
"778",58,"7.1",26,"o",0.911945034171927,0.0542882697082528,0,0.00297524607444013,26,1,1,1.3,0.46
"779",59,"7.1",26,"o",0.912129597810564,0.0595301993804354,0,0.00271381000526654,26.6,1,1,1.3,0.46
"780",60,"7.1",26,"o",NA,NA,NA,NA,27.2,1,1,1.3,0.46
"781",1,"7.6",1,"a",0.899375772655235,0.000197977101258438,0,0.899375772655235,7.6,1,1,1.3,0.46
"782",2,"7.6",1,"a",0.899702501976831,0.000220127234108106,0,0.809170632875261,7.8,1,1,1.3,0.46
"783",3,"7.6",1,"a",0.90001805807385,0.000244666691072262,0,0.728268181650781,8,1,1,1.3,0.46
"784",4,"7.6",1,"a",0.900323087417982,0.000271846424499391,0,0.65567665777211,8.2,1,1,1.3,0.46
"785",5,"7.6",1,"a",0.900618184497426,0.000301943189393281,0,0.590514321140058,8.4,1,1,1.3,0.46
"786",6,"7.6",1,"a",0.900903897115042,0.000335262150588016,0,0.531996653217322,8.6,1,1,1.3,0.46
"787",7,"7.6",1,"a",0.901180731037745,0.000372139749491176,0,0.47942513285602,8.8,1,1,1.3,0.46
"788",8,"7.6",1,"a",0.901449154089272,0.000412946855912734,0,0.432177380462196,9,1,1,1.3,0.46
"789",9,"7.6",1,"a",0.890895056954147,0.000458092232977833,1,0.385024691981162,9.2,1,1,1.3,0.46
"790",10,"7.6",2,"a",0.901836957959405,0.000514193259241993,2,0.347229496955548,9.3,1,1,1.3,0.46
"791",11,"7.6",4,"n",0.901836957959405,0.000570162106025753,2,0.313144393248166,9.3,1,1,1.3,0.46
"792",12,"7.6",6,"n",0.901836957959405,0.00063222304319382,2,0.28240518700897,9.3,1,1,1.3,0.46
"793",13,"7.6",8,"n",0.901836957959405,0.000701039181876464,2,0.254683434764126,9.3,1,1,1.3,0.46
"794",14,"7.6",10,"a",0.901836957959405,0.000777345811445465,2,0.229682934050332,9.3,1,1,1.3,0.46
"795",15,"7.6",12,"a",0.901836957959405,0.000861958255962777,2,0.207136558539143,9.3,1,1,1.3,0.46
"796",16,"7.6",14,"a",0.901836957959405,0.000955780585786967,2,0.186803403835121,9.3,1,1,1.3,0.46
"797",17,"7.6",16,"a",0.901836957959405,0.00105981527741957,2,0.168466213451127,9.3,1,1,1.3,0.46
