"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","yn","Bn","ka","dn0","iter_id"
"165",45,"8.2",26,"o",0.91022448717035,0.0228401095371418,0,0.0111001855231326,21.2,1,1,1.3,0.1,16
"166",46,"8.2",26,"o",0.910506899771985,0.0250928313389433,0,0.0101067955075614,21.9,1,1,1.3,0.1,16
"167",47,"8.2",26,"o",0.910777286968434,0.0275591885632357,0,0.00920503979232149,22.6,1,1,1.3,0.1,16
"168",48,"8.2",26,"o",0.911036509304996,0.0302589765440548,0,0.00838612732041015,23.3,1,1,1.3,0.1,16
"169",49,"8.2",26,"o",0.911285342256234,0.0332137913629154,0,0.00764215490538432,24,1,1,1.3,0.1,16
"170",50,"8.2",26,"o",0.91152448682615,0.0364471914808615,0,0.00696601132837639,24.7,1,1,1.3,0.1,16
"171",51,"8.2",26,"o",0.911754578569679,0.0399848737007247,0,0.00635129272301543,25.4,1,1,1.3,0.1,16
"172",52,"8.2",26,"o",0.911976195306975,0.0438548647196828,0,0.00579222777281649,26.1,1,1,1.3,0.1,16
"173",53,"8.2",26,"o",0.912189863749323,0.0480877296418039,0,0.00528361146289052,26.8,1,1,1.3,0.1,16
"174",54,"8.2",26,"o",0.912396065214194,0.0527167989393695,0,0.00482074630886192,27.5,1,1,1.3,0.1,16
"175",55,"8.2",26,"o",0.91259524057433,0.0577784154812129,0,0.00439939013748366,28.2,1,1,1.3,0.1,16
"176",56,"8.2",26,"o",0.912787794559687,0.0633122033869591,0,0.00401570962100135,28.9,1,1,1.3,0.1,16
"177",57,"8.2",26,"o",0.912974099510259,0.0693613606188718,0,0.00366623887512839,29.6,1,1,1.3,0.1,16
"178",58,"8.2",26,"o",0.913154498661025,0.0759729773890398,0,0.00334784252198942,30.3,1,1,1.3,0.1,16
"179",59,"8.2",26,"o",0.913329309026636,0.0831983826400026,0,0.00305768269733859,31,1,1,1.3,0.1,16
"180",60,"8.2",26,"o",NA,NA,NA,NA,31.7,1,1,1.3,0.1,16
"181",1,"8.8",1,"a",0.890372215906153,0.00033989639789181,1,0.890372215906153,8.8,1,1,1.3,0.1,16
"182",2,"8.8",2,"a",0.901315966063794,0.000381746411017429,2,0.802506693935815,8.9,1,1,1.3,0.1,16
"183",3,"8.8",4,"n",0.901315966063794,0.000423543380335959,0,0.723312096117421,8.9,1,1,1.3,0.1,16
"184",4,"8.8",4,"n",0.901709599763735,0.000469916651078142,0,0.652217460694308,9.2,1,1,1.3,0.1,16
"185",5,"8.8",4,"n",0.902086183057953,0.000521139678674009,0,0.588356359641479,9.5,1,1,1.3,0.1,16
"186",6,"8.8",4,"n",0.902446957243836,0.000577704978151216,0,0.530960406533513,9.8,1,1,1.3,0.1,16
"187",7,"8.8",4,"n",0.902793038805304,0.000640153943136542,0,0.47934735889969,10.1,1,1,1.3,0.1,16
"188",8,"8.8",4,"n",0.903125435226801,0.000709081611864973,0,0.4329107921311,10.4,1,1,1.3,0.1,16
"189",9,"8.8",4,"n",0.90344505841333,0.000785141890823728,0,0.391111115884643,10.7,1,1,1.3,0.1,16
"190",10,"8.8",4,"n",0.903752736134788,0.000869053279457446,0,0.353467741113476,11,1,1,1.3,0.1,16
"191",11,"8.8",4,"n",0.90404922183053,0.000961605143431436,0,0.319552236295833,11.3,1,1,1.3,0.1,16
"192",12,"8.8",4,"n",0.893490738036444,0.0010636645883997,1,0.28551696344916,11.6,1,1,1.3,0.1,16
"193",13,"8.8",5,"a",0.893673759510953,0.00119045955723864,1,0.255159018129763,11.8,1,1,1.3,0.1,16
"194",14,"8.8",6,"n",0.893852614189238,0.00133209635459153,1,0.228074555389247,12,1,1,1.3,0.1,16
"195",15,"8.8",7,"n",0.894027463840607,0.00149028635531798,1,0.203904916321223,12.2,1,1,1.3,0.1,16
"196",16,"8.8",8,"n",0.905051084102993,0.00166693576606241,2,0.184544365570453,12.4,1,1,1.3,0.1,16
"197",17,"8.8",10,"a",0.905051084102993,0.00184181400955343,2,0.167022078124637,12.4,1,1,1.3,0.1,16
"198",18,"8.8",12,"a",0.905051084102993,0.0020350387308567,2,0.151163512875838,12.4,1,1,1.3,0.1,16
"199",19,"8.8",14,"a",0.905051084102993,0.00224853465909457,2,0.136810701205094,12.4,1,1,1.3,0.1,16
"200",20,"8.8",16,"a",0.905051084102993,0.00248442844673582,2,0.123820673442561,12.4,1,1,1.3,0.1,16
"201",21,"8.8",18,"n",0.905051084102993,0.00274506985337537,2,0.112064034733552,12.4,1,1,1.3,0.1,16
"202",22,"8.8",20,"n",0.905051084102993,0.00303305515190454,2,0.101423676124557,12.4,1,1,1.3,0.1,16
"203",23,"8.8",22,"a",0.905051084102993,0.0033512529902228,2,0.0917936080302409,12.4,1,1,1.3,0.1,16
"204",24,"8.8",24,"a",0.905051084102993,0.00370283296610188,2,0.0830779044614947,12.4,1,1,1.3,0.1,16
"205",25,"8.8",26,"o",0.905051084102993,0.00409129719983906,0,0.0751897474978806,12.4,1,1,1.3,0.1,16
"206",26,"8.8",26,"o",0.905385909983916,0.00452051521919781,0,0.0680757379598295,12.8,1,1,1.3,0.1,16
