"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","N","yn","ya","iter_id"
"2885",5,"7.1",1,"n",0.941959498251551,0.00177240283867416,0,0.73966797470967,7.9,0.75,0.7,1,11
"2886",6,"7.1",1,"n",0.942186567781634,0.00188161257672338,0,0.696905230389697,8.1,0.75,0.7,1,11
"2887",7,"7.1",1,"n",0.942406131703687,0.00199707005073699,0,0.656767762335621,8.3,0.75,0.7,1,11
"2888",8,"7.1",1,"n",0.942618609782439,0.0021191182692399,0,0.619081515082726,8.5,0.75,0.7,1,11
"2889",9,"7.1",1,"n",0.942824389142988,0.00224811843013476,0,0.583685151287587,8.7,0.75,0.7,1,11
"2890",10,"7.1",1,"n",0.943023827489316,0.00238445086489358,0,0.550429005415901,8.9,0.75,0.7,1,11
"2891",11,"7.1",1,"n",0.943217255941301,0.00252851603043995,0,0.519174136078885,9.1,0.75,0.7,1,11
"2892",12,"7.1",1,"n",0.943404981542688,0.00268073555112875,0,0.489791466264942,9.3,0.75,0.7,1,11
"2893",13,"7.1",1,"n",0.943587289484359,0.00284155331334495,0,0.462161002065506,9.5,0.75,0.7,1,11
"2894",14,"7.1",1,"n",0.943764445080449,0.00301143661536366,0,0.436171121652176,9.7,0.75,0.7,1,11
"2895",15,"7.1",1,"n",0.94393669552925,0.00319087737524055,0,0.411717927257642,9.9,0.75,0.7,1,11
"2896",16,"7.1",1,"n",0.944186374436152,0.00338039339963522,0,0.38873845702776,10.2,0.75,0.7,1,11
"2897",17,"7.1",1,"n",0.944426248136896,0.00358021836700823,0,0.367134802477254,10.5,0.75,0.7,1,11
"2898",18,"7.1",1,"n",0.944656965182597,0.00379089248532752,0,0.346816448321075,10.8,0.75,0.7,1,11
"2899",19,"7.1",1,"n",0.944879114736725,0.00401298315160865,0,0.327699618665752,11.1,0.75,0.7,1,11
"2900",20,"7.1",1,"n",0.945093233443681,0.0042470863087357,0,0.309706692203077,11.4,0.75,0.7,1,11
"2901",21,"7.1",1,"n",0.945299811346054,0.00449382786633694,2,0.292765677712179,11.7,0.75,0.7,1,11
"2902",22,"7.1",3,"n",0.945299811346054,0.00475386518901129,2,0.276751339909922,11.7,0.75,0.7,1,11
"2903",23,"7.1",5,"n",0.937358465883259,0.00502894968554162,1,0.259415211409101,11.7,0.75,0.7,1,11
"2904",24,"7.1",6,"a",0.904611308720388,0.00536502295394848,2,0.234669933894763,11.9,0.75,0.7,1,11
"2905",25,"7.1",8,"n",0.945433563691404,0.00593074937515156,0,0.221864831893352,11.9,0.75,0.7,1,11
"2906",26,"7.1",8,"n",0.945628551928099,0.00627304720597734,0,0.209801719707082,12.2,0.75,0.7,1,11
"2907",27,"7.1",8,"n",0.945817115141795,0.00663373286814029,0,0.19843405728514,12.5,0.75,0.7,1,11
"2908",28,"7.1",8,"n",0.945999611483769,0.0070137585395098,0,0.18771854109689,12.8,0.75,0.7,1,11
"2909",29,"7.1",8,"n",0.946176371349061,0.00741412412263991,0,0.177614848049995,13.1,0.75,0.7,1,11
"2910",30,"7.1",8,"n",0.946347700104391,0.00783587959617807,0,0.168085402956504,13.4,0.75,0.7,1,11
"2911",31,"7.1",8,"n",0.946513880493752,0.00828012747884705,0,0.159095167006716,13.7,0.75,0.7,1,11
"2912",32,"7.1",8,"n",0.946675174765918,0.00874802541144742,0,0.150611445030496,14,0.75,0.7,1,11
"2913",33,"7.1",8,"n",0.94683182656119,0.00924078886256896,0,0.142603709599245,14.3,0.75,0.7,1,11
