"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0"
"704","7.6","0",0,"a",0,0.0411523464039972,5.6,12.4,37,0.0523852108857954,0.82,1,1.3,1
"705","8.2","0",0,"a",0,0.101666259347033,2.7,18.7,26,0.0715144725738188,0.82,1,1.3,1
"706","8.8","0",0,"a",0,0.0591114559088285,5,16.2,33,0.0736545834223382,0.82,1,1.3,1
"707","9.4","0",0,"a",0,0.0706005165332198,4.7,17.9,31,0.0849534336062737,0.82,1,1.3,1
"708","10","0",0,"a",0,0.0841528851697387,4.4,20.3,29,0.101598148942839,0.82,1,1.3,1
"709","7.1","1",0,"a",0,0.0709739836998682,3.5,15.3,30,0.0536732860357246,0.82,1,1.3,1
"710","7.6","1",0,"a",0,0.0411523464039972,5.6,12.4,37,0.0523852108857954,0.82,1,1.3,1
"711","8.2","1",0,"a",0,0.101666259347033,2.7,18.7,26,0.0715144725738188,0.82,1,1.3,1
"712","8.8","1",0,"a",0,0.0591114559088285,5,16.2,33,0.0736545834223382,0.82,1,1.3,1
"713","9.4","1",0,"a",0,0.0706005165332198,4.7,17.9,31,0.0849534336062737,0.82,1,1.3,1
"714","10","1",0,"a",0,0.0841528851697387,4.4,20.3,29,0.101598148942839,0.82,1,1.3,1
"715","7.1","2",1,"a",0.166666666666667,0.0709739836998682,3.5,15.3,30,0.0536732860357246,0.82,1,1.3,1
"716","7.6","2",1,"a",0.0810810810810811,0.0411523464039972,5.6,12.4,37,0.0523852108857954,0.82,1,1.3,1
"717","8.2","2",1,"a",0.192307692307692,0.101666259347033,2.7,18.7,26,0.0715144725738188,0.82,1,1.3,1
"718","8.8","2",1,"a",0.0909090909090909,0.0591114559088285,5,16.2,33,0.0736545834223382,0.82,1,1.3,1
"719","9.4","2",1,"a",0.0967741935483871,0.0706005165332198,4.7,17.9,31,0.0849534336062737,0.82,1,1.3,1
"720","10","2",1,"a",0.103448275862069,0.0841528851697387,4.4,20.3,29,0.101598148942839,0.82,1,1.3,1
