"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0","iter_id"
"207","8.2","1",0,"a",0,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,11
"208","8.8","1",0,"a",0,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,11
"209","9.4","1",0,"a",0,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,11
"210","10","1",0,"a",0,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,11
"211","7.1","2",1,"a",0.333333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,1,1,0.9,1,11
"212","7.6","2",1,"a",0.384615384615385,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,1,1,0.9,1,11
"213","8.2","2",1,"a",0.2,0.121466935623447,1.4,20.7,20,0.0736545834223382,1,1,0.9,1,11
"214","8.8","2",1,"a",0.263157894736842,0.139599647909229,1.2,21.7,19,0.0808905333153078,1,1,0.9,1,11
"215","9.4","2",1,"a",0.277777777777778,0.156441696290062,1,22.6,18,0.0885237743244743,1,1,0.9,1,11
"216","10","2",1,"a",0.235294117647059,0.170959652848917,0.799999999999999,24.7,17,0.104828335740565,1,1,0.9,1,11
