"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","qa"
"327","15.7","2",0.318181818181818,"n",0.28,0.0870078451919822,3.9,14.8,25,1
"328","17.1","2",0.368421052631579,"n",0.291666666666667,0.0983219535568187,3.5,15.3,24,1
"329","18.6","2",0.368421052631579,"n",0.291666666666667,0.0987399859185669,3.5,15.3,24,1
"330","20","2",0.368421052631579,"n",0.291666666666667,0.0991525591308881,3.5,15.3,24,1
"331","7.1","0",0,"a",0,0.0876544933811112,3.6,14.1,25,1
"332","8.5","0",0,"a",0,0.0880958824485456,3.6,14.3,25,1
"333","10","0",0,"a",0,0.0885311075984768,3.6,14.3,25,1
"334","11.4","0",0,"a",0,0.0889603268756604,3.6,14.4,25,1
"335","12.8","0",0,"a",0,0.089383692418775,3.6,14.6,25,1
"336","14.3","0",0,"a",0,0.0986515746662332,3.4,15.1,24,1
"337","15.7","0",0,"a",0,0.0870078451919822,3.9,14.8,25,1
"338","17.1","0",0,"a",0,0.0983219535568187,3.5,15.3,24,1
"339","18.6","0",0,"a",0,0.0987399859185669,3.5,15.3,24,1
"340","20","0",0,"a",0,0.0991525591308881,3.5,15.3,24,1
"341","7.1","1",0,"a",0,0.0876544933811112,3.6,14.1,25,1
"342","8.5","1",0,"a",0,0.0880958824485456,3.6,14.3,25,1
"343","10","1",0,"a",0,0.0885311075984768,3.6,14.3,25,1
"344","11.4","1",0,"a",0,0.0889603268756604,3.6,14.4,25,1
"345","12.8","1",0,"a",0,0.089383692418775,3.6,14.6,25,1
"346","14.3","1",0,"a",0,0.0986515746662332,3.4,15.1,24,1
"347","15.7","1",0,"a",0,0.0870078451919822,3.9,14.8,25,1
"348","17.1","1",0,"a",0,0.0983219535568187,3.5,15.3,24,1
"349","18.6","1",0,"a",0,0.0987399859185669,3.5,15.3,24,1
"350","20","1",0,"a",0,0.0991525591308881,3.5,15.3,24,1
"351","7.1","2",1,"a",0.2,0.0876544933811112,3.6,14.1,25,1
"352","8.5","2",1,"a",0.2,0.0880958824485456,3.6,14.3,25,1
"353","10","2",1,"a",0.2,0.0885311075984768,3.6,14.3,25,1
"354","11.4","2",1,"a",0.2,0.0889603268756604,3.6,14.4,25,1
"355","12.8","2",1,"a",0.2,0.089383692418775,3.6,14.6,25,1
"356","14.3","2",1,"a",0.208333333333333,0.0986515746662332,3.4,15.1,24,1
"357","15.7","2",1,"a",0.12,0.0870078451919822,3.9,14.8,25,1
"358","17.1","2",1,"a",0.208333333333333,0.0983219535568187,3.5,15.3,24,1
"359","18.6","2",1,"a",0.208333333333333,0.0987399859185669,3.5,15.3,24,1
"360","20","2",1,"a",0.208333333333333,0.0991525591308881,3.5,15.3,24,1
