"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","dn0","d","dn0_d"
"122","8.5","0",0.5,"n",0.315789473684211,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.5,1,0.5
"123","10","0",0,"n",0,0.192859815546751,0.6,25.7,16,0.112729240671452,0.5,1,0.5
"124","11.4","0",0,"n",0,0.19764975457947,1.1,25.8,16,0.114734110056427,0.5,1,0.5
"125","12.8","0",0,"n",0,0.24506680532974,1.1,29,14,0.143453824747416,0.5,1,0.5
"126","14.3","0",0.5,"n",0.315789473684211,0.155344590940257,1.9,30,19,0.171024081496852,0.5,1,0.5
"127","15.7","0",0.4,"n",0.235294117647059,0.19084284389106,1.3,32.9,17,0.193742425366959,0.5,1,0.5
"128","17.1","0",0.272727272727273,"n",0.1875,0.21496492782398,1.1,35.4,16,0.211866187738025,0.5,1,0.5
"129","18.6","0",0,"n",0,0.262605217643246,1.2,38.8,14,0.230483447571069,0.5,1,0.5
"130","20","0",0,"n",0,0.291087685816634,1.2,41.2,13,0.242195078873512,0.5,1,0.5
"131","7.1","1",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.5,1,0.5
"132","8.5","1",0.0833333333333333,"n",0.0526315789473684,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.5,1,0.5
"133","10","1",0,"n",0,0.192859815546751,0.6,25.7,16,0.112729240671452,0.5,1,0.5
"134","11.4","1",0,"n",0,0.19764975457947,1.1,25.8,16,0.114734110056427,0.5,1,0.5
"135","12.8","1",0,"n",0,0.24506680532974,1.1,29,14,0.143453824747416,0.5,1,0.5
"136","14.3","1",0.0833333333333333,"n",0.0526315789473684,0.155344590940257,1.9,30,19,0.171024081496852,0.5,1,0.5
"137","15.7","1",0.1,"n",0.0588235294117647,0.19084284389106,1.3,32.9,17,0.193742425366959,0.5,1,0.5
"138","17.1","1",0,"n",0,0.21496492782398,1.1,35.4,16,0.211866187738025,0.5,1,0.5
"139","18.6","1",0,"n",0,0.262605217643246,1.2,38.8,14,0.230483447571069,0.5,1,0.5
"140","20","1",0,"n",0,0.291087685816634,1.2,41.2,13,0.242195078873512,0.5,1,0.5
"141","7.1","2",1,"n",0.384615384615385,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.5,1,0.5
"142","8.5","2",0.416666666666667,"n",0.263157894736842,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.5,1,0.5
"143","10","2",1,"n",0.5,0.192859815546751,0.6,25.7,16,0.112729240671452,0.5,1,0.5
"144","11.4","2",1,"n",0.3125,0.19764975457947,1.1,25.8,16,0.114734110056427,0.5,1,0.5
"145","12.8","2",1,"n",0.357142857142857,0.24506680532974,1.1,29,14,0.143453824747416,0.5,1,0.5
"146","14.3","2",0.416666666666667,"n",0.263157894736842,0.155344590940257,1.9,30,19,0.171024081496852,0.5,1,0.5
"147","15.7","2",0.5,"n",0.294117647058824,0.19084284389106,1.3,32.9,17,0.193742425366959,0.5,1,0.5
"148","17.1","2",0.727272727272727,"n",0.5,0.21496492782398,1.1,35.4,16,0.211866187738025,0.5,1,0.5
"149","18.6","2",1,"n",0.571428571428571,0.262605217643246,1.2,38.8,14,0.230483447571069,0.5,1,0.5
"150","20","2",1,"n",0.615384615384615,0.291087685816634,1.2,41.2,13,0.242195078873512,0.5,1,0.5
"151","7.1","0",0,"a",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.5,1,0.5
"152","8.5","0",0,"a",0,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.5,1,0.5
"153","10","0",0.375,"a",0.1875,0.192859815546751,0.6,25.7,16,0.112729240671452,0.5,1,0.5
"154","11.4","0",0.272727272727273,"a",0.1875,0.19764975457947,1.1,25.8,16,0.114734110056427,0.5,1,0.5
"155","12.8","0",0.111111111111111,"a",0.0714285714285714,0.24506680532974,1.1,29,14,0.143453824747416,0.5,1,0.5
"156","14.3","0",0,"a",0,0.155344590940257,1.9,30,19,0.171024081496852,0.5,1,0.5
"157","15.7","0",0,"a",0,0.19084284389106,1.3,32.9,17,0.193742425366959,0.5,1,0.5
"158","17.1","0",0,"a",0,0.21496492782398,1.1,35.4,16,0.211866187738025,0.5,1,0.5
"159","18.6","0",0.166666666666667,"a",0.0714285714285714,0.262605217643246,1.2,38.8,14,0.230483447571069,0.5,1,0.5
"160","20","0",0,"a",0,0.291087685816634,1.2,41.2,13,0.242195078873512,0.5,1,0.5
"161","7.1","1",0.125,"a",0.0769230769230769,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.5,1,0.5
"162","8.5","1",0,"a",0,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.5,1,0.5
"163","10","1",0.125,"a",0.0625,0.192859815546751,0.6,25.7,16,0.112729240671452,0.5,1,0.5
"164","11.4","1",0.0909090909090909,"a",0.0625,0.19764975457947,1.1,25.8,16,0.114734110056427,0.5,1,0.5
"165","12.8","1",0.111111111111111,"a",0.0714285714285714,0.24506680532974,1.1,29,14,0.143453824747416,0.5,1,0.5
"166","14.3","1",0,"a",0,0.155344590940257,1.9,30,19,0.171024081496852,0.5,1,0.5
"167","15.7","1",0,"a",0,0.19084284389106,1.3,32.9,17,0.193742425366959,0.5,1,0.5
"168","17.1","1",0,"a",0,0.21496492782398,1.1,35.4,16,0.211866187738025,0.5,1,0.5
"169","18.6","1",0,"a",0,0.262605217643246,1.2,38.8,14,0.230483447571069,0.5,1,0.5
"170","20","1",0,"a",0,0.291087685816634,1.2,41.2,13,0.242195078873512,0.5,1,0.5
"171","7.1","2",0.875,"a",0.538461538461538,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.5,1,0.5
"172","8.5","2",1,"a",0.368421052631579,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.5,1,0.5
"173","10","2",0.5,"a",0.25,0.192859815546751,0.6,25.7,16,0.112729240671452,0.5,1,0.5
"174","11.4","2",0.636363636363636,"a",0.4375,0.19764975457947,1.1,25.8,16,0.114734110056427,0.5,1,0.5
"175","12.8","2",0.777777777777778,"a",0.5,0.24506680532974,1.1,29,14,0.143453824747416,0.5,1,0.5
"176","14.3","2",1,"a",0.368421052631579,0.155344590940257,1.9,30,19,0.171024081496852,0.5,1,0.5
"177","15.7","2",1,"a",0.411764705882353,0.19084284389106,1.3,32.9,17,0.193742425366959,0.5,1,0.5
"178","17.1","2",1,"a",0.3125,0.21496492782398,1.1,35.4,16,0.211866187738025,0.5,1,0.5
"179","18.6","2",0.833333333333333,"a",0.357142857142857,0.262605217643246,1.2,38.8,14,0.230483447571069,0.5,1,0.5
"180","20","2",1,"a",0.384615384615385,0.291087685816634,1.2,41.2,13,0.242195078873512,0.5,1,0.5
"181","7.1","0",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.7,1,0.7
"182","8.5","0",0.5,"n",0.315789473684211,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.7,1,0.7
"183","10","0",0,"n",0,0.192859815546751,0.6,25.7,16,0.112729240671452,0.7,1,0.7
"184","11.4","0",0,"n",0,0.19764975457947,1.1,25.8,16,0.114734110056427,0.7,1,0.7
"185","12.8","0",0,"n",0,0.24506680532974,1.1,29,14,0.143453824747416,0.7,1,0.7
"186","14.3","0",0,"n",0,0.274669741660135,1.1,31.8,13,0.171024081496852,0.7,1,0.7
"187","15.7","0",0.4,"n",0.235294117647059,0.19084284389106,1.3,32.9,17,0.193742425366959,0.7,1,0.7
"188","17.1","0",0.272727272727273,"n",0.1875,0.21496492782398,1.1,35.4,16,0.211866187738025,0.7,1,0.7
"189","18.6","0",0,"n",0,0.262605217643246,1.2,38.8,14,0.230483447571069,0.7,1,0.7
"190","20","0",0,"n",0,0.291087685816634,1.2,41.2,13,0.242195078873512,0.7,1,0.7
"191","7.1","1",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.7,1,0.7
"192","8.5","1",0.0833333333333333,"n",0.0526315789473684,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.7,1,0.7
"193","10","1",0,"n",0,0.192859815546751,0.6,25.7,16,0.112729240671452,0.7,1,0.7
"194","11.4","1",0,"n",0,0.19764975457947,1.1,25.8,16,0.114734110056427,0.7,1,0.7
"195","12.8","1",0,"n",0,0.24506680532974,1.1,29,14,0.143453824747416,0.7,1,0.7
"196","14.3","1",0,"n",0,0.274669741660135,1.1,31.8,13,0.171024081496852,0.7,1,0.7
"197","15.7","1",0.1,"n",0.0588235294117647,0.19084284389106,1.3,32.9,17,0.193742425366959,0.7,1,0.7
"198","17.1","1",0,"n",0,0.21496492782398,1.1,35.4,16,0.211866187738025,0.7,1,0.7
"199","18.6","1",0,"n",0,0.262605217643246,1.2,38.8,14,0.230483447571069,0.7,1,0.7
"200","20","1",0,"n",0,0.291087685816634,1.2,41.2,13,0.242195078873512,0.7,1,0.7
"201","7.1","2",1,"n",0.384615384615385,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.7,1,0.7
"202","8.5","2",0.416666666666667,"n",0.263157894736842,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.7,1,0.7
"203","10","2",1,"n",0.5,0.192859815546751,0.6,25.7,16,0.112729240671452,0.7,1,0.7
"204","11.4","2",1,"n",0.3125,0.19764975457947,1.1,25.8,16,0.114734110056427,0.7,1,0.7
"205","12.8","2",1,"n",0.357142857142857,0.24506680532974,1.1,29,14,0.143453824747416,0.7,1,0.7
"206","14.3","2",1,"n",0.384615384615385,0.274669741660135,1.1,31.8,13,0.171024081496852,0.7,1,0.7
"207","15.7","2",0.5,"n",0.294117647058824,0.19084284389106,1.3,32.9,17,0.193742425366959,0.7,1,0.7
"208","17.1","2",0.727272727272727,"n",0.5,0.21496492782398,1.1,35.4,16,0.211866187738025,0.7,1,0.7
"209","18.6","2",1,"n",0.571428571428571,0.262605217643246,1.2,38.8,14,0.230483447571069,0.7,1,0.7
"210","20","2",1,"n",0.615384615384615,0.291087685816634,1.2,41.2,13,0.242195078873512,0.7,1,0.7
"211","7.1","0",0,"a",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.7,1,0.7
"212","8.5","0",0,"a",0,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.7,1,0.7
"213","10","0",0.375,"a",0.1875,0.192859815546751,0.6,25.7,16,0.112729240671452,0.7,1,0.7
"214","11.4","0",0.272727272727273,"a",0.1875,0.19764975457947,1.1,25.8,16,0.114734110056427,0.7,1,0.7
"215","12.8","0",0.111111111111111,"a",0.0714285714285714,0.24506680532974,1.1,29,14,0.143453824747416,0.7,1,0.7
"216","14.3","0",0,"a",0,0.274669741660135,1.1,31.8,13,0.171024081496852,0.7,1,0.7
"217","15.7","0",0,"a",0,0.19084284389106,1.3,32.9,17,0.193742425366959,0.7,1,0.7
"218","17.1","0",0,"a",0,0.21496492782398,1.1,35.4,16,0.211866187738025,0.7,1,0.7
"219","18.6","0",0.166666666666667,"a",0.0714285714285714,0.262605217643246,1.2,38.8,14,0.230483447571069,0.7,1,0.7
"220","20","0",0,"a",0,0.291087685816634,1.2,41.2,13,0.242195078873512,0.7,1,0.7
"221","7.1","1",0.125,"a",0.0769230769230769,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.7,1,0.7
"222","8.5","1",0,"a",0,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.7,1,0.7
"223","10","1",0.125,"a",0.0625,0.192859815546751,0.6,25.7,16,0.112729240671452,0.7,1,0.7
"224","11.4","1",0.0909090909090909,"a",0.0625,0.19764975457947,1.1,25.8,16,0.114734110056427,0.7,1,0.7
"225","12.8","1",0.111111111111111,"a",0.0714285714285714,0.24506680532974,1.1,29,14,0.143453824747416,0.7,1,0.7
"226","14.3","1",0.125,"a",0.0769230769230769,0.274669741660135,1.1,31.8,13,0.171024081496852,0.7,1,0.7
"227","15.7","1",0,"a",0,0.19084284389106,1.3,32.9,17,0.193742425366959,0.7,1,0.7
"228","17.1","1",0,"a",0,0.21496492782398,1.1,35.4,16,0.211866187738025,0.7,1,0.7
"229","18.6","1",0,"a",0,0.262605217643246,1.2,38.8,14,0.230483447571069,0.7,1,0.7
"230","20","1",0,"a",0,0.291087685816634,1.2,41.2,13,0.242195078873512,0.7,1,0.7
"231","7.1","2",0.875,"a",0.538461538461538,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.7,1,0.7
"232","8.5","2",1,"a",0.368421052631579,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.7,1,0.7
"233","10","2",0.5,"a",0.25,0.192859815546751,0.6,25.7,16,0.112729240671452,0.7,1,0.7
"234","11.4","2",0.636363636363636,"a",0.4375,0.19764975457947,1.1,25.8,16,0.114734110056427,0.7,1,0.7
"235","12.8","2",0.777777777777778,"a",0.5,0.24506680532974,1.1,29,14,0.143453824747416,0.7,1,0.7
"236","14.3","2",0.875,"a",0.538461538461538,0.274669741660135,1.1,31.8,13,0.171024081496852,0.7,1,0.7
"237","15.7","2",1,"a",0.411764705882353,0.19084284389106,1.3,32.9,17,0.193742425366959,0.7,1,0.7
"238","17.1","2",1,"a",0.3125,0.21496492782398,1.1,35.4,16,0.211866187738025,0.7,1,0.7
"239","18.6","2",0.833333333333333,"a",0.357142857142857,0.262605217643246,1.2,38.8,14,0.230483447571069,0.7,1,0.7
"240","20","2",1,"a",0.384615384615385,0.291087685816634,1.2,41.2,13,0.242195078873512,0.7,1,0.7
"241","7.1","0",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0.9,1,0.9
"242","8.5","0",0,"n",0,0.254396605154422,0.0999999999999996,23.1,13,0.0831983826400026,0.9,1,0.9
