"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","seeds"
"101","7.1","1",0,"a",0,0.0977344855435927,2.3,17.6,24,0.0581388249819421,2
"102","8.5","1",0,"a",0,0.148455946702849,1.4,21.1,20,0.0774996901503023,2
"103","10","1",0.25,"a",0.05,0.154119997746325,1.4,23.5,20,0.101598148942839,2
"104","11.4","1",0.25,"a",0.037037037037037,0.0872851555193555,4.1,22.7,27,0.124208680632935,2
"105","12.8","1",0,"a",0,0.108510073771745,3.7,26.1,25,0.153715160504045,2
"106","14.3","1",0,"a",0,0.131104432984353,3.1,29.5,23,0.18180159202578,2
"107","15.7","1",0.25,"a",0.0344827586206897,0.0816166124591625,5.6,27,29,0.191424223305194,2
"108","17.1","1",0,"a",0,0.0830562956474923,6.3,29,29,0.211866187738025,2
"109","18.6","1",0,"a",0,0.0536761834411463,9.6,24.5,35,0.21088187286358,2
"110","20","1",0,"a",0,0.0403373301221553,12.1,21,39,0.21088187286358,2
"111","7.1","2",1,"a",0.25,0.0977344855435927,2.3,17.6,24,0.0581388249819421,2
"112","8.5","2",1,"a",0.2,0.148455946702849,1.4,21.1,20,0.0774996901503023,2
"113","10","2",0.75,"a",0.15,0.154119997746325,1.4,23.5,20,0.101598148942839,2
"114","11.4","2",0.75,"a",0.111111111111111,0.0872851555193555,4.1,22.7,27,0.124208680632935,2
"115","12.8","2",1,"a",0.16,0.108510073771745,3.7,26.1,25,0.153715160504045,2
"116","14.3","2",1,"a",0.173913043478261,0.131104432984353,3.1,29.5,23,0.18180159202578,2
"117","15.7","2",0.75,"a",0.103448275862069,0.0816166124591625,5.6,27,29,0.191424223305194,2
"118","17.1","2",1,"a",0.137931034482759,0.0830562956474923,6.3,29,29,0.211866187738025,2
"119","18.6","2",1,"a",0.114285714285714,0.0536761834411463,9.6,24.5,35,0.21088187286358,2
"120","20","2",1,"a",0.102564102564103,0.0403373301221553,12.1,21,39,0.21088187286358,2
"121","7.1","0",0.5625,"n",0.409090909090909,0.118838764292805,1.9,18.2,22,0.0581388249819421,3
"122","8.5","0",0.533333333333333,"n",0.380952380952381,0.136231038021766,1.6,20.4,21,0.0736545834223382,3
"123","10","0",0.363636363636364,"n",0.235294117647059,0.200001112981858,0.800000000000001,24.4,17,0.101598148942839,3
"124","11.4","0",0.65,"n",0.5,0.0971097546986376,3.8,23,26,0.121484492805138,3
"125","12.8","0",0.65,"n",0.5,0.100174600860888,4,25.3,26,0.148256093072167,3
"126","14.3","0",0.666666666666667,"n",0.518518518518518,0.0949465364368279,4.6,26.3,27,0.169071565339806,3
"127","15.7","0",0.708333333333333,"n",0.566666666666667,0.0760563507494221,6,25.8,30,0.183034129130455,3
"128","17.1","0",0.695652173913043,"n",0.551724137931034,0.0840125576152449,6.1,28.3,29,0.205281905672364,3
"129","18.6","0",0.758620689655172,"n",0.628571428571429,0.0530747278088239,9.7,24.5,35,0.21088187286358,3
"130","20","0",0.758620689655172,"n",0.628571428571429,0.0554437786231328,9.5,25,35,0.218007493025617,3
"131","7.1","1",0.0625,"n",0.0454545454545455,0.118838764292805,1.9,18.2,22,0.0581388249819421,3
"132","8.5","1",0,"n",0,0.136231038021766,1.6,20.4,21,0.0736545834223382,3
"133","10","1",0,"n",0,0.200001112981858,0.800000000000001,24.4,17,0.101598148942839,3
"134","11.4","1",0,"n",0,0.0971097546986376,3.8,23,26,0.121484492805138,3
"135","12.8","1",0,"n",0,0.100174600860888,4,25.3,26,0.148256093072167,3
"136","14.3","1",0,"n",0,0.0949465364368279,4.6,26.3,27,0.169071565339806,3
"137","15.7","1",0,"n",0,0.0760563507494221,6,25.8,30,0.183034129130455,3
"138","17.1","1",0,"n",0,0.0840125576152449,6.1,28.3,29,0.205281905672364,3
"139","18.6","1",0.0344827586206897,"n",0.0285714285714286,0.0530747278088239,9.7,24.5,35,0.21088187286358,3
"140","20","1",0,"n",0,0.0554437786231328,9.5,25,35,0.218007493025617,3
"141","7.1","2",0.375,"n",0.272727272727273,0.118838764292805,1.9,18.2,22,0.0581388249819421,3
"142","8.5","2",0.466666666666667,"n",0.333333333333333,0.136231038021766,1.6,20.4,21,0.0736545834223382,3
"143","10","2",0.636363636363636,"n",0.411764705882353,0.200001112981858,0.800000000000001,24.4,17,0.101598148942839,3
"144","11.4","2",0.35,"n",0.269230769230769,0.0971097546986376,3.8,23,26,0.121484492805138,3
"145","12.8","2",0.35,"n",0.269230769230769,0.100174600860888,4,25.3,26,0.148256093072167,3
"146","14.3","2",0.333333333333333,"n",0.259259259259259,0.0949465364368279,4.6,26.3,27,0.169071565339806,3
"147","15.7","2",0.291666666666667,"n",0.233333333333333,0.0760563507494221,6,25.8,30,0.183034129130455,3
"148","17.1","2",0.304347826086957,"n",0.241379310344828,0.0840125576152449,6.1,28.3,29,0.205281905672364,3
"149","18.6","2",0.206896551724138,"n",0.171428571428571,0.0530747278088239,9.7,24.5,35,0.21088187286358,3
"150","20","2",0.241379310344828,"n",0.2,0.0554437786231328,9.5,25,35,0.218007493025617,3
"151","7.1","0",0,"a",0,0.118838764292805,1.9,18.2,22,0.0581388249819421,3
"152","8.5","0",0,"a",0,0.136231038021766,1.6,20.4,21,0.0736545834223382,3
"153","10","0",0,"a",0,0.200001112981858,0.800000000000001,24.4,17,0.101598148942839,3
"154","11.4","0",0,"a",0,0.0971097546986376,3.8,23,26,0.121484492805138,3
"155","12.8","0",0,"a",0,0.100174600860888,4,25.3,26,0.148256093072167,3
"156","14.3","0",0,"a",0,0.0949465364368279,4.6,26.3,27,0.169071565339806,3
"157","15.7","0",0,"a",0,0.0760563507494221,6,25.8,30,0.183034129130455,3
"158","17.1","0",0,"a",0,0.0840125576152449,6.1,28.3,29,0.205281905672364,3
"159","18.6","0",0,"a",0,0.0530747278088239,9.7,24.5,35,0.21088187286358,3
"160","20","0",0,"a",0,0.0554437786231328,9.5,25,35,0.218007493025617,3
"161","7.1","1",0,"a",0,0.118838764292805,1.9,18.2,22,0.0581388249819421,3
"162","8.5","1",0.166666666666667,"a",0.0476190476190476,0.136231038021766,1.6,20.4,21,0.0736545834223382,3
"163","10","1",0.166666666666667,"a",0.0588235294117647,0.200001112981858,0.800000000000001,24.4,17,0.101598148942839,3
"164","11.4","1",0.166666666666667,"a",0.0384615384615385,0.0971097546986376,3.8,23,26,0.121484492805138,3
"165","12.8","1",0.166666666666667,"a",0.0384615384615385,0.100174600860888,4,25.3,26,0.148256093072167,3
"166","14.3","1",0.166666666666667,"a",0.037037037037037,0.0949465364368279,4.6,26.3,27,0.169071565339806,3
"167","15.7","1",0.166666666666667,"a",0.0333333333333333,0.0760563507494221,6,25.8,30,0.183034129130455,3
"168","17.1","1",0.166666666666667,"a",0.0344827586206897,0.0840125576152449,6.1,28.3,29,0.205281905672364,3
"169","18.6","1",0,"a",0,0.0530747278088239,9.7,24.5,35,0.21088187286358,3
"170","20","1",0.166666666666667,"a",0.0285714285714286,0.0554437786231328,9.5,25,35,0.218007493025617,3
"171","7.1","2",1,"a",0.272727272727273,0.118838764292805,1.9,18.2,22,0.0581388249819421,3
"172","8.5","2",0.833333333333333,"a",0.238095238095238,0.136231038021766,1.6,20.4,21,0.0736545834223382,3
"173","10","2",0.833333333333333,"a",0.294117647058824,0.200001112981858,0.800000000000001,24.4,17,0.101598148942839,3
"174","11.4","2",0.833333333333333,"a",0.192307692307692,0.0971097546986376,3.8,23,26,0.121484492805138,3
"175","12.8","2",0.833333333333333,"a",0.192307692307692,0.100174600860888,4,25.3,26,0.148256093072167,3
"176","14.3","2",0.833333333333333,"a",0.185185185185185,0.0949465364368279,4.6,26.3,27,0.169071565339806,3
"177","15.7","2",0.833333333333333,"a",0.166666666666667,0.0760563507494221,6,25.8,30,0.183034129130455,3
"178","17.1","2",0.833333333333333,"a",0.172413793103448,0.0840125576152449,6.1,28.3,29,0.205281905672364,3
"179","18.6","2",1,"a",0.171428571428571,0.0530747278088239,9.7,24.5,35,0.21088187286358,3
"180","20","2",0.833333333333333,"a",0.142857142857143,0.0554437786231328,9.5,25,35,0.218007493025617,3
"181","7.1","0",0.545454545454545,"n",0.48,0.093226245453711,2.4,17.3,25,0.0581388249819421,4
"182","8.5","0",0.411764705882353,"n",0.35,0.15442978337815,1.4,21.2,20,0.0786203689154736,4
"183","10","0",0.352941176470588,"n",0.3,0.15635413490365,1.3,23.8,20,0.104828335740565,4
"184","11.4","0",0.6,"n",0.535714285714286,0.0854515092914569,4.3,22.1,28,0.121484492805138,4
"185","12.8","0",0.545454545454545,"n",0.48,0.112875987112813,3.6,26.1,25,0.153715160504045,4
"186","14.3","0",0.6,"n",0.535714285714286,0.0907055267133488,4.5,26,28,0.171024081496852,4
"187","15.7","0",0.615384615384615,"n",0.551724137931034,0.085235415040737,5.4,27,29,0.191424223305194,4
"188","17.1","0",0.615384615384615,"n",0.551724137931034,0.0866204764190829,5.9,29,29,0.212354408853828,4
"189","18.6","0",0.696969696969697,"n",0.638888888888889,0.0507637407690473,9.9,23.7,36,0.211375341317102,4
"190","20","0",0.821428571428571,"n",0.779661016949153,0.00931192092202937,23.6,0,59,0.163818198986637,4
"191","7.1","1",0.0454545454545455,"n",0.04,0.093226245453711,2.4,17.3,25,0.0581388249819421,4
"192","8.5","1",0.0588235294117647,"n",0.05,0.15442978337815,1.4,21.2,20,0.0786203689154736,4
"193","10","1",0.0588235294117647,"n",0.05,0.15635413490365,1.3,23.8,20,0.104828335740565,4
"194","11.4","1",0.04,"n",0.0357142857142857,0.0854515092914569,4.3,22.1,28,0.121484492805138,4
"195","12.8","1",0.0454545454545455,"n",0.04,0.112875987112813,3.6,26.1,25,0.153715160504045,4
"196","14.3","1",0.04,"n",0.0357142857142857,0.0907055267133488,4.5,26,28,0.171024081496852,4
"197","15.7","1",0.0384615384615385,"n",0.0344827586206897,0.085235415040737,5.4,27,29,0.191424223305194,4
"198","17.1","1",0.0384615384615385,"n",0.0344827586206897,0.0866204764190829,5.9,29,29,0.212354408853828,4
"199","18.6","1",0,"n",0,0.0507637407690473,9.9,23.7,36,0.211375341317102,4
"200","20","1",0.0178571428571429,"n",0.0169491525423729,0.00931192092202937,23.6,0,59,0.163818198986637,4
"201","7.1","2",0.409090909090909,"n",0.36,0.093226245453711,2.4,17.3,25,0.0581388249819421,4
"202","8.5","2",0.529411764705882,"n",0.45,0.15442978337815,1.4,21.2,20,0.0786203689154736,4
"203","10","2",0.588235294117647,"n",0.5,0.15635413490365,1.3,23.8,20,0.104828335740565,4
"204","11.4","2",0.36,"n",0.321428571428571,0.0854515092914569,4.3,22.1,28,0.121484492805138,4
"205","12.8","2",0.409090909090909,"n",0.36,0.112875987112813,3.6,26.1,25,0.153715160504045,4
"206","14.3","2",0.36,"n",0.321428571428571,0.0907055267133488,4.5,26,28,0.171024081496852,4
"207","15.7","2",0.346153846153846,"n",0.310344827586207,0.085235415040737,5.4,27,29,0.191424223305194,4
"208","17.1","2",0.346153846153846,"n",0.310344827586207,0.0866204764190829,5.9,29,29,0.212354408853828,4
"209","18.6","2",0.303030303030303,"n",0.277777777777778,0.0507637407690473,9.9,23.7,36,0.211375341317102,4
"210","20","2",0.160714285714286,"n",0.152542372881356,0.00931192092202937,23.6,0,59,0.163818198986637,4
"211","7.1","0",0,"a",0,0.093226245453711,2.4,17.3,25,0.0581388249819421,4
"212","8.5","0",0,"a",0,0.15442978337815,1.4,21.2,20,0.0786203689154736,4
"213","10","0",0,"a",0,0.15635413490365,1.3,23.8,20,0.104828335740565,4
"214","11.4","0",0,"a",0,0.0854515092914569,4.3,22.1,28,0.121484492805138,4
"215","12.8","0",0,"a",0,0.112875987112813,3.6,26.1,25,0.153715160504045,4
"216","14.3","0",0,"a",0,0.0907055267133488,4.5,26,28,0.171024081496852,4
"217","15.7","0",0,"a",0,0.085235415040737,5.4,27,29,0.191424223305194,4
"218","17.1","0",0,"a",0,0.0866204764190829,5.9,29,29,0.212354408853828,4
"219","18.6","0",0,"a",0,0.0507637407690473,9.9,23.7,36,0.211375341317102,4
"220","20","0",0,"a",0,0.00931192092202937,23.6,0,59,0.163818198986637,4
"221","7.1","1",0,"a",0,0.093226245453711,2.4,17.3,25,0.0581388249819421,4
"222","8.5","1",0,"a",0,0.15442978337815,1.4,21.2,20,0.0786203689154736,4
"223","10","1",0.666666666666667,"a",0.1,0.15635413490365,1.3,23.8,20,0.104828335740565,4
"224","11.4","1",0,"a",0,0.0854515092914569,4.3,22.1,28,0.121484492805138,4
"225","12.8","1",0,"a",0,0.112875987112813,3.6,26.1,25,0.153715160504045,4
"226","14.3","1",0,"a",0,0.0907055267133488,4.5,26,28,0.171024081496852,4
"227","15.7","1",0,"a",0,0.085235415040737,5.4,27,29,0.191424223305194,4
"228","17.1","1",0,"a",0,0.0866204764190829,5.9,29,29,0.212354408853828,4
"229","18.6","1",0,"a",0,0.0507637407690473,9.9,23.7,36,0.211375341317102,4
"230","20","1",0,"a",0,0.00931192092202937,23.6,0,59,0.163818198986637,4
"231","7.1","2",1,"a",0.12,0.093226245453711,2.4,17.3,25,0.0581388249819421,4
"232","8.5","2",1,"a",0.15,0.15442978337815,1.4,21.2,20,0.0786203689154736,4
"233","10","2",0.333333333333333,"a",0.05,0.15635413490365,1.3,23.8,20,0.104828335740565,4
"234","11.4","2",1,"a",0.107142857142857,0.0854515092914569,4.3,22.1,28,0.121484492805138,4
"235","12.8","2",1,"a",0.12,0.112875987112813,3.6,26.1,25,0.153715160504045,4
"236","14.3","2",1,"a",0.107142857142857,0.0907055267133488,4.5,26,28,0.171024081496852,4
"237","15.7","2",1,"a",0.103448275862069,0.085235415040737,5.4,27,29,0.191424223305194,4
"238","17.1","2",1,"a",0.103448275862069,0.0866204764190829,5.9,29,29,0.212354408853828,4
"239","18.6","2",1,"a",0.0833333333333333,0.0507637407690473,9.9,23.7,36,0.211375341317102,4
"240","20","2",1,"a",0.0508474576271186,0.00931192092202937,23.6,0,59,0.163818198986637,4
"241","7.1","0",0.611111111111111,"n",0.458333333333333,0.0980559853272442,2.3,17.6,24,0.0581388249819421,5
"242","8.5","0",0.533333333333333,"n",0.380952380952381,0.136124243800693,1.6,20.4,21,0.0736545834223382,5
"243","10","0",0.416666666666667,"n",0.277777777777778,0.183340085636581,1.1,24.1,18,0.101598148942839,5
"244","11.4","0",0.65,"n",0.5,0.097066912709529,3.8,23,26,0.121484492805138,5
"245","12.8","0",0.65,"n",0.5,0.100136177018528,4,25.3,26,0.148256093072167,5
"246","14.3","0",0.666666666666667,"n",0.518518518518518,0.0949156362893064,4.6,26.3,27,0.169071565339806,5
"247","15.7","0",0.666666666666667,"n",0.518518518518518,0.0964740125492659,4.6,28.2,27,0.191424223305194,5
"248","17.1","0",0.631578947368421,"n",0.48,0.11539967699602,4.3,31.8,25,0.216165370515567,5
"249","18.6","0",0.730769230769231,"n",0.59375,0.0665426245002226,7.9,27.5,32,0.21890984291903,5
"250","20","0",0.758620689655172,"n",0.628571428571429,0.0554128423855536,9.3,25,35,0.218007493025617,5
