"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ya","yn","yn_ya"
"218","17.1","0",0.555555555555556,"a",0.294117647058824,0.0801057958062579,6.6,22.7,34,0.177426591361112,0.7,1,1.42857142857143
"219","18.6","0",0.636363636363636,"a",0.388888888888889,0.0738141827232398,7.5,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"220","20","0",0.703703703703704,"a",0.527777777777778,0.0822549564887464,7,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"221","7.1","1",0,"a",0,0.150681612973004,1.8,18.2,22,0.0581388249819421,0.7,1,1.42857142857143
"222","8.5","1",0.714285714285714,"a",0.185185185185185,0.0958026661275446,2.8,18.4,27,0.0715144725738188,0.7,1,1.42857142857143
"223","10","1",0.777777777777778,"a",0.318181818181818,0.15613620981523,1.8,22.9,22,0.101598148942839,0.7,1,1.42857142857143
"224","11.4","1",0.0476190476190476,"a",0.0384615384615385,0.14962614978351,2.7,21.8,26,0.104828335740565,0.7,1,1.42857142857143
"225","12.8","1",0.0416666666666667,"a",0.0344827586206897,0.125412628462803,3.3,21.2,29,0.114064668269126,0.7,1,1.42857142857143
"226","14.3","1",0.0476190476190476,"a",0.0384615384615385,0.156356035120934,2.7,25.3,26,0.148256093072167,0.7,1,1.42857142857143
"227","15.7","1",0.0555555555555556,"a",0.037037037037037,0.139713393184868,3.2,26.7,27,0.173605354280564,0.7,1,1.42857142857143
"228","17.1","1",0.0555555555555556,"a",0.0294117647058824,0.0801057958062579,6.6,22.7,34,0.177426591361112,0.7,1,1.42857142857143
"229","18.6","1",0.0454545454545455,"a",0.0277777777777778,0.0738141827232398,7.5,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"230","20","1",0.037037037037037,"a",0.0277777777777778,0.0822549564887464,7,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"231","7.1","2",0.888888888888889,"a",0.363636363636364,0.150681612973004,1.8,18.2,22,0.0581388249819421,0.7,1,1.42857142857143
"232","8.5","2",0.285714285714286,"a",0.0740740740740741,0.0958026661275446,2.8,18.4,27,0.0715144725738188,0.7,1,1.42857142857143
"233","10","2",0.111111111111111,"a",0.0454545454545455,0.15613620981523,1.8,22.9,22,0.101598148942839,0.7,1,1.42857142857143
"234","11.4","2",0.333333333333333,"a",0.269230769230769,0.14962614978351,2.7,21.8,26,0.104828335740565,0.7,1,1.42857142857143
"235","12.8","2",0.291666666666667,"a",0.241379310344828,0.125412628462803,3.3,21.2,29,0.114064668269126,0.7,1,1.42857142857143
"236","14.3","2",0.333333333333333,"a",0.269230769230769,0.156356035120934,2.7,25.3,26,0.148256093072167,0.7,1,1.42857142857143
"237","15.7","2",0.388888888888889,"a",0.259259259259259,0.139713393184868,3.2,26.7,27,0.173605354280564,0.7,1,1.42857142857143
"238","17.1","2",0.388888888888889,"a",0.205882352941176,0.0801057958062579,6.6,22.7,34,0.177426591361112,0.7,1,1.42857142857143
"239","18.6","2",0.318181818181818,"a",0.194444444444444,0.0738141827232398,7.5,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"240","20","2",0.259259259259259,"a",0.194444444444444,0.0822549564887464,7,21.8,36,0.186076914286697,0.7,1,1.42857142857143
"241","7.1","0",0.578947368421053,"n",0.458333333333333,0.104405419091024,2.2,17.6,24,0.0581388249819421,0.9,1,1.11111111111111
"242","8.5","0",0.375,"n",0.3,0.154898811542791,1.4,21.1,20,0.0774996901503023,0.9,1,1.11111111111111
"243","10","0",0.428571428571429,"n",0.315789473684211,0.178991591325554,1.2,23.8,19,0.101598148942839,0.9,1,1.11111111111111
