"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W"
"393",33,"15.7",26,"o",0.899540576564082,0.00599780386923764,0,0.0300223199803675,22.9
"394",34,"15.7",26,"o",0.899540576564082,0.00596994454948043,0,0.0270062950249312,23.4
"395",35,"15.7",26,"o",0.899540576564082,0.00577823103651008,0,0.0242932581975863,23.9
"396",36,"15.7",26,"o",0.899540576564082,0.00576525743231815,0,0.0218527714856769,24.4
"397",37,"15.7",26,"o",0.899540576564082,0.00553837276382476,0,0.0196574546617489,24.9
"398",38,"15.7",26,"o",0.899540576564082,0.00549359424527855,0,0.0176826781002119,25.4
"399",39,"15.7",26,"o",0.899540576564082,0.00538980424341401,0,0.0159062864534617,25.9
"400",40,"15.7",26,"o",0.899540576564082,0.00527563327194834,0,0.0143083500873404,26.4
"401",41,"15.7",26,"o",0.899540576564082,0.0053038456035348,0,0.0128709414872469,26.9
"402",42,"15.7",26,"o",0.899540576564082,0.00503687844141771,0,0.0115779341263607,27.4
"403",43,"15.7",26,"o",0.899540576564082,0.00514931789747881,0,0.0104148215394475,27.9
"404",44,"15.7",26,"o",0.899540576564082,0.00526414632856182,0,0.00936855457240659,28.4
"405",45,"15.7",26,"o",0.899540576564082,0.00502569972168751,0,0.00842739498163469,28.9
"406",46,"15.7",26,"o",0.899540576564082,0.00529168706602353,0,0.00758078374071293,29.4
"407",47,"15.7",26,"o",0.899540576564082,0.00552086796850879,0,0.00681922257692853,29.9
"408",48,"15.7",26,"o",0.899540576564082,0.00570517373854765,0,0.0061341674085691,30.4
"409",49,"15.7",26,"o",0.899540576564082,0.00583093632320886,0,0.00551793248744485,30.9
"410",50,"15.7",26,"o",0.899540576564082,0.00595763482368483,0,0.00496360417119782,31.3
"411",51,"15.7",26,"o",0.899540576564082,0.00628563230526193,0,0.00446496335799517,31.7
"412",52,"15.7",26,"o",0.899540576564082,0.00663297938891478,0,0.00401641571338848,32.1
"413",53,"15.7",26,"o",0.899540576564082,0.00700088137839135,0,0.00361292890654251,32.5
"414",54,"15.7",26,"o",0.899540576564082,0.00739057181770985,0,0.00324997615167629,32.9
"415",55,"15.7",26,"o",0.899540576564082,0.00780327893002102,0,0.00292348542129841,33.3
"416",56,"15.7",26,"o",0.899540576564082,0.00841270347445013,0,0.00262979376145146,33.6
"417",57,"15.7",26,"o",0.899540576564082,0.00907353781397407,0,0.00236560619642067,33.9
