"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya"
"155","12.8","0",0.608695652173913,"a",0.5,0.18072570480596,2.2,13.5,28,0.5
"156","14.3","0",0.565217391304348,"a",0.464285714285714,0.179108336010396,2.2,13.6,28,0.5
"157","15.7","0",0.56,"a",0.466666666666667,0.15966459820595,2.6,12.8,30,0.5
"158","17.1","0",0.56,"a",0.466666666666667,0.160168288524527,2.5,13,30,0.5
"159","18.6","0",0.541666666666667,"a",0.448275862068966,0.16936853851779,2.4,13.4,29,0.5
"160","20","0",0.571428571428571,"a",0.461538461538462,0.203807605631511,2,14.6,26,0.5
"161","7.1","1",0.136363636363636,"a",0.111111111111111,0.188216682122283,2.1,13.4,27,0.5
"162","8.5","1",0.227272727272727,"a",0.185185185185185,0.186557920155855,2.1,13.6,27,0.5
"163","10","1",0.291666666666667,"a",0.241379310344828,0.166202143577835,2.5,12.8,29,0.5
"164","11.4","1",0.291666666666667,"a",0.241379310344828,0.166749889711567,2.4,12.9,29,0.5
"165","12.8","1",0.130434782608696,"a",0.107142857142857,0.18072570480596,2.2,13.5,28,0.5
"166","14.3","1",0.217391304347826,"a",0.178571428571429,0.179108336010396,2.2,13.6,28,0.5
"167","15.7","1",0.28,"a",0.233333333333333,0.15966459820595,2.6,12.8,30,0.5
"168","17.1","1",0.28,"a",0.233333333333333,0.160168288524527,2.5,13,30,0.5
"169","18.6","1",0.291666666666667,"a",0.241379310344828,0.16936853851779,2.4,13.4,29,0.5
"170","20","1",0.142857142857143,"a",0.115384615384615,0.203807605631511,2,14.6,26,0.5
"171","7.1","2",0.272727272727273,"a",0.222222222222222,0.188216682122283,2.1,13.4,27,0.5
"172","8.5","2",0.227272727272727,"a",0.185185185185185,0.186557920155855,2.1,13.6,27,0.5
"173","10","2",0.166666666666667,"a",0.137931034482759,0.166202143577835,2.5,12.8,29,0.5
"174","11.4","2",0.166666666666667,"a",0.137931034482759,0.166749889711567,2.4,12.9,29,0.5
"175","12.8","2",0.260869565217391,"a",0.214285714285714,0.18072570480596,2.2,13.5,28,0.5
"176","14.3","2",0.217391304347826,"a",0.178571428571429,0.179108336010396,2.2,13.6,28,0.5
"177","15.7","2",0.16,"a",0.133333333333333,0.15966459820595,2.6,12.8,30,0.5
"178","17.1","2",0.16,"a",0.133333333333333,0.160168288524527,2.5,13,30,0.5
"179","18.6","2",0.166666666666667,"a",0.137931034482759,0.16936853851779,2.4,13.4,29,0.5
"180","20","2",0.285714285714286,"a",0.230769230769231,0.203807605631511,2,14.6,26,0.5
"181","7.1","0",0,"n",0,0.135255750364501,2.1,14.4,24,0.7
"182","8.5","0",0,"n",0,0.131540362024314,2,14.3,25,0.7
"183","10","0",0,"n",0,0.173756870364671,1.5,15.2,22,0.7
"184","11.4","0",0,"n",0,0.126979616802463,2.2,14.4,25,0.7
"185","12.8","0",0,"n",0,0.118671109242303,2.3,14.3,26,0.7
"186","14.3","0",0,"n",0,0.160157555404957,1.7,15.4,23,0.7
"187","15.7","0",0,"n",0,0.120064517539141,2.5,14.8,25,0.7
"188","17.1","0",0,"n",0,0.131419381811858,2.2,15,25,0.7
"189","18.6","0",0,"n",0,0.150175176697418,1.8,15.3,24,0.7
"190","20","0",0,"n",0,0.149713213783154,1.8,15.3,24,0.7
"191","7.1","1",0,"n",0,0.135255750364501,2.1,14.4,24,0.7
"192","8.5","1",0,"n",0,0.131540362024314,2,14.3,25,0.7
"193","10","1",0,"n",0,0.173756870364671,1.5,15.2,22,0.7
"194","11.4","1",0,"n",0,0.126979616802463,2.2,14.4,25,0.7
"195","12.8","1",0,"n",0,0.118671109242303,2.3,14.3,26,0.7
"196","14.3","1",0,"n",0,0.160157555404957,1.7,15.4,23,0.7
"197","15.7","1",0.3,"n",0.12,0.120064517539141,2.5,14.8,25,0.7
"198","17.1","1",0,"n",0,0.131419381811858,2.2,15,25,0.7
"199","18.6","1",0,"n",0,0.150175176697418,1.8,15.3,24,0.7
"200","20","1",0.166666666666667,"n",0.0416666666666667,0.149713213783154,1.8,15.3,24,0.7
"201","7.1","2",1,"n",0.333333333333333,0.135255750364501,2.1,14.4,24,0.7
"202","8.5","2",1,"n",0.2,0.131540362024314,2,14.3,25,0.7
"203","10","2",1,"n",0.227272727272727,0.173756870364671,1.5,15.2,22,0.7
"204","11.4","2",1,"n",0.32,0.126979616802463,2.2,14.4,25,0.7
"205","12.8","2",1,"n",0.269230769230769,0.118671109242303,2.3,14.3,26,0.7
"206","14.3","2",1,"n",0.217391304347826,0.160157555404957,1.7,15.4,23,0.7
"207","15.7","2",0.7,"n",0.28,0.120064517539141,2.5,14.8,25,0.7
"208","17.1","2",1,"n",0.28,0.131419381811858,2.2,15,25,0.7
"209","18.6","2",1,"n",0.208333333333333,0.150175176697418,1.8,15.3,24,0.7
"210","20","2",0.833333333333333,"n",0.208333333333333,0.149713213783154,1.8,15.3,24,0.7
"211","7.1","0",0.5625,"a",0.375,0.135255750364501,2.1,14.4,24,0.7
"212","8.5","0",0.45,"a",0.36,0.131540362024314,2,14.3,25,0.7
"213","10","0",0.529411764705882,"a",0.409090909090909,0.173756870364671,1.5,15.2,22,0.7
"214","11.4","0",0.588235294117647,"a",0.4,0.126979616802463,2.2,14.4,25,0.7
"215","12.8","0",0.526315789473684,"a",0.384615384615385,0.118671109242303,2.3,14.3,26,0.7
"216","14.3","0",0.5,"a",0.391304347826087,0.160157555404957,1.7,15.4,23,0.7
"217","15.7","0",0.6,"a",0.36,0.120064517539141,2.5,14.8,25,0.7
"218","17.1","0",0.555555555555556,"a",0.4,0.131419381811858,2.2,15,25,0.7
"219","18.6","0",0.526315789473684,"a",0.416666666666667,0.150175176697418,1.8,15.3,24,0.7
"220","20","0",0.611111111111111,"a",0.458333333333333,0.149713213783154,1.8,15.3,24,0.7
"221","7.1","1",0.3125,"a",0.208333333333333,0.135255750364501,2.1,14.4,24,0.7
"222","8.5","1",0.35,"a",0.28,0.131540362024314,2,14.3,25,0.7
"223","10","1",0.0588235294117647,"a",0.0454545454545455,0.173756870364671,1.5,15.2,22,0.7
