"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ka","kn","kn_ka"
"82","8.5","2",0.416666666666667,"n",0.263157894736842,0.139311428537956,1.3,21.9,19,0.0831983826400026,1,1.3,1.3
"83","10","2",0.411764705882353,"n",0.304347826086957,0.097116619592455,2.9,23.6,23,0.112063315447455,1,1.3,1.3
"84","11.4","2",0.411764705882353,"n",0.333333333333333,0.120224563558313,2.6,26.5,21,0.138634548269411,1,1.3,1.3
"85","12.8","2",0.466666666666667,"n",0.368421052631579,0.149002813797138,2,29,19,0.161135256529652,1,1.3,1.3
"86","14.3","2",0.388888888888889,"n",0.304347826086957,0.107119135764599,3.4,29.7,23,0.184258591645921,1,1.3,1.3
"87","15.7","2",0.4375,"n",0.333333333333333,0.132115240585531,3.1,33,21,0.208881854681059,1,1.3,1.3
"88","17.1","2",0.533333333333333,"n",0.4,0.149111570738717,2.8,35,20,0.222425196947694,1,1.3,1.3
"89","18.6","2",0.421052631578947,"n",0.333333333333333,0.105133593033134,4.8,35.2,24,0.236538023744143,1,1.3,1.3
"90","20","2",0.380952380952381,"n",0.307692307692308,0.0891261941738952,6.1,34.8,26,0.242487949169602,1,1.3,1.3
"91","7.1","0",0,"a",0,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1.3,1.3
"92","8.5","0",0,"a",0,0.139311428537956,1.3,21.9,19,0.0831983826400026,1,1.3,1.3
"93","10","0",0.166666666666667,"a",0.0434782608695652,0.097116619592455,2.9,23.6,23,0.112063315447455,1,1.3,1.3
"94","11.4","0",0,"a",0,0.120224563558313,2.6,26.5,21,0.138634548269411,1,1.3,1.3
"95","12.8","0",0,"a",0,0.149002813797138,2,29,19,0.161135256529652,1,1.3,1.3
"96","14.3","0",0,"a",0,0.107119135764599,3.4,29.7,23,0.184258591645921,1,1.3,1.3
"97","15.7","0",0,"a",0,0.132115240585531,3.1,33,21,0.208881854681059,1,1.3,1.3
"98","17.1","0",0,"a",0,0.149111570738717,2.8,35,20,0.222425196947694,1,1.3,1.3
"99","18.6","0",0,"a",0,0.105133593033134,4.8,35.2,24,0.236538023744143,1,1.3,1.3
"100","20","0",0,"a",0,0.0891261941738952,6.1,34.8,26,0.242487949169602,1,1.3,1.3
"101","7.1","1",0,"a",0,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1.3,1.3
"102","8.5","1",0,"a",0,0.139311428537956,1.3,21.9,19,0.0831983826400026,1,1.3,1.3
"103","10","1",0,"a",0,0.097116619592455,2.9,23.6,23,0.112063315447455,1,1.3,1.3
"104","11.4","1",0,"a",0,0.120224563558313,2.6,26.5,21,0.138634548269411,1,1.3,1.3
"105","12.8","1",0,"a",0,0.149002813797138,2,29,19,0.161135256529652,1,1.3,1.3
"106","14.3","1",0,"a",0,0.107119135764599,3.4,29.7,23,0.184258591645921,1,1.3,1.3
"107","15.7","1",0,"a",0,0.132115240585531,3.1,33,21,0.208881854681059,1,1.3,1.3
"108","17.1","1",0,"a",0,0.149111570738717,2.8,35,20,0.222425196947694,1,1.3,1.3
"109","18.6","1",0,"a",0,0.105133593033134,4.8,35.2,24,0.236538023744143,1,1.3,1.3
"110","20","1",0,"a",0,0.0891261941738952,6.1,34.8,26,0.242487949169602,1,1.3,1.3
"111","7.1","2",1,"a",0.318181818181818,0.0988401335587552,1.9,18.2,22,0.0595301993804354,1,1.3,1.3
"112","8.5","2",1,"a",0.368421052631579,0.139311428537956,1.3,21.9,19,0.0831983826400026,1,1.3,1.3
"113","10","2",0.833333333333333,"a",0.217391304347826,0.097116619592455,2.9,23.6,23,0.112063315447455,1,1.3,1.3
"114","11.4","2",1,"a",0.19047619047619,0.120224563558313,2.6,26.5,21,0.138634548269411,1,1.3,1.3
"115","12.8","2",1,"a",0.210526315789474,0.149002813797138,2,29,19,0.161135256529652,1,1.3,1.3
"116","14.3","2",1,"a",0.217391304347826,0.107119135764599,3.4,29.7,23,0.184258591645921,1,1.3,1.3
"117","15.7","2",1,"a",0.238095238095238,0.132115240585531,3.1,33,21,0.208881854681059,1,1.3,1.3
"118","17.1","2",1,"a",0.25,0.149111570738717,2.8,35,20,0.222425196947694,1,1.3,1.3
"119","18.6","2",1,"a",0.208333333333333,0.105133593033134,4.8,35.2,24,0.236538023744143,1,1.3,1.3
