"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","kn"
"81","7.1","2",0.538461538461538,"n",0.28,0.0857228775746146,2.5,17.3,25,0.0581388249819421,1
"82","8.5","2",0.5,"n",0.368421052631579,0.16478102360433,1.3,21.9,19,0.0831983826400026,1
"83","10","2",0.583333333333333,"n",0.411764705882353,0.201505065105907,0.9,25.4,17,0.112063315447455,1
"84","11.4","2",0.666666666666667,"n",0.19047619047619,0.125785129221045,2.4,26.4,21,0.137256635097068,1
"85","12.8","2",0.583333333333333,"n",0.35,0.159485331782494,1.7,27.8,20,0.148940675893818,1
"86","14.3","2",0.466666666666667,"n",0.291666666666667,0.11652211825414,3.3,28,24,0.171024081496852,1
"87","15.7","2",0.318181818181818,"n",0.259259259259259,0.0977824520532233,4.2,27.6,27,0.183034129130455,1
"88","17.1","2",0.411764705882353,"n",0.318181818181818,0.149287407772518,2.7,32.9,22,0.211866187738025,1
"89","18.6","2",0.421052631578947,"n",0.333333333333333,0.130814731853824,3.3,32.9,24,0.220688593180983,1
"90","20","2",0.380952380952381,"n",0.307692307692308,0.111879383794625,3.7,33.1,26,0.231603900063934,1
"91","7.1","0",0.583333333333333,"a",0.28,0.0857228775746146,2.5,17.3,25,0.0581388249819421,1
"92","8.5","0",0,"a",0,0.16478102360433,1.3,21.9,19,0.0831983826400026,1
"93","10","0",0,"a",0,0.201505065105907,0.9,25.4,17,0.112063315447455,1
"94","11.4","0",0.4,"a",0.285714285714286,0.125785129221045,2.4,26.4,21,0.137256635097068,1
"95","12.8","0",0.375,"a",0.15,0.159485331782494,1.7,27.8,20,0.148940675893818,1
"96","14.3","0",0.444444444444444,"a",0.166666666666667,0.11652211825414,3.3,28,24,0.171024081496852,1
"97","15.7","0",0,"a",0,0.0977824520532233,4.2,27.6,27,0.183034129130455,1
"98","17.1","0",0,"a",0,0.149287407772518,2.7,32.9,22,0.211866187738025,1
"99","18.6","0",0,"a",0,0.130814731853824,3.3,32.9,24,0.220688593180983,1
"100","20","0",0,"a",0,0.111879383794625,3.7,33.1,26,0.231603900063934,1
