"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","seeds"
"504","11.4","2",0.352941176470588,"n",0.24,0.0837531676205144,2.9,14.4,25,9
"505","12.8","2",0.352941176470588,"n",0.24,0.0841518003136175,2.9,14.6,25,9
"506","14.3","2",0.352941176470588,"n",0.24,0.0845450594304364,2.9,14.8,25,9
"507","15.7","2",0.1875,"n",0.125,0.0921694922097661,2.7,15.1,24,9
"508","17.1","2",0.1875,"n",0.125,0.0925683791737858,2.7,15.3,24,9
"509","18.6","2",0.1875,"n",0.125,0.0929619987982819,2.7,15.3,24,9
"510","20","2",0.25,"n",0.166666666666667,0.0944830759443569,2.7,15.3,24,9
"511","7.1","0",0,"a",0,0.0750476039405477,3.1,13.8,26,9
"512","8.5","0",0,"a",0,0.0829392244106521,2.9,14.3,25,9
"513","10","0",0,"a",0,0.0833490233994632,2.9,14.3,25,9
"514","11.4","0",0,"a",0,0.0837531676205144,2.9,14.4,25,9
"515","12.8","0",0,"a",0,0.0841518003136175,2.9,14.6,25,9
"516","14.3","0",0,"a",0,0.0845450594304364,2.9,14.8,25,9
"517","15.7","0",0,"a",0,0.0921694922097661,2.7,15.1,24,9
"518","17.1","0",0,"a",0,0.0925683791737858,2.7,15.3,24,9
"519","18.6","0",0,"a",0,0.0929619987982819,2.7,15.3,24,9
"520","20","0",0,"a",0,0.0944830759443569,2.7,15.3,24,9
"521","7.1","1",0.25,"a",0.0769230769230769,0.0750476039405477,3.1,13.8,26,9
"522","8.5","1",0.25,"a",0.08,0.0829392244106521,2.9,14.3,25,9
"523","10","1",0.25,"a",0.08,0.0833490233994632,2.9,14.3,25,9
"524","11.4","1",0.25,"a",0.08,0.0837531676205144,2.9,14.4,25,9
"525","12.8","1",0.25,"a",0.08,0.0841518003136175,2.9,14.6,25,9
"526","14.3","1",0.25,"a",0.08,0.0845450594304364,2.9,14.8,25,9
"527","15.7","1",0,"a",0,0.0921694922097661,2.7,15.1,24,9
"528","17.1","1",0,"a",0,0.0925683791737858,2.7,15.3,24,9
"529","18.6","1",0,"a",0,0.0929619987982819,2.7,15.3,24,9
"530","20","1",0,"a",0,0.0944830759443569,2.7,15.3,24,9
"531","7.1","2",0.75,"a",0.230769230769231,0.0750476039405477,3.1,13.8,26,9
"532","8.5","2",0.75,"a",0.24,0.0829392244106521,2.9,14.3,25,9
"533","10","2",0.75,"a",0.24,0.0833490233994632,2.9,14.3,25,9
"534","11.4","2",0.75,"a",0.24,0.0837531676205144,2.9,14.4,25,9
"535","12.8","2",0.75,"a",0.24,0.0841518003136175,2.9,14.6,25,9
"536","14.3","2",0.75,"a",0.24,0.0845450594304364,2.9,14.8,25,9
"537","15.7","2",1,"a",0.333333333333333,0.0921694922097661,2.7,15.1,24,9
"538","17.1","2",1,"a",0.333333333333333,0.0925683791737858,2.7,15.3,24,9
"539","18.6","2",1,"a",0.333333333333333,0.0929619987982819,2.7,15.3,24,9
"540","20","2",1,"a",0.333333333333333,0.0944830759443569,2.7,15.3,24,9
"541","7.1","0",0.6,"n",0.461538461538462,0.0759582144983684,3.4,13.8,26,10
"542","8.5","0",0.666666666666667,"n",0.48,0.0849647645163401,3.1,14.3,25,10
"543","10","0",0.578947368421053,"n",0.44,0.0843603412400092,3.2,14.3,25,10
"544","11.4","0",0.631578947368421,"n",0.48,0.086840206375213,3.1,14.4,25,10
"545","12.8","0",0.631578947368421,"n",0.48,0.0872535021730483,3.1,14.6,25,10
"546","14.3","0",0.631578947368421,"n",0.48,0.0876612265970038,3.1,14.8,25,10
"547","15.7","0",0.631578947368421,"n",0.48,0.0880635174618924,3.2,14.8,25,10
"548","17.1","0",0.611111111111111,"n",0.458333333333333,0.097143317560145,3,15.3,24,10
"549","18.6","0",0.611111111111111,"n",0.458333333333333,0.0975563491529079,3,15.3,24,10
"550","20","0",0.611111111111111,"n",0.458333333333333,0.0979639869450555,3,15.3,24,10
"551","7.1","1",0.05,"n",0.0384615384615385,0.0759582144983684,3.4,13.8,26,10
"552","8.5","1",0,"n",0,0.0849647645163401,3.1,14.3,25,10
"553","10","1",0.0526315789473684,"n",0.04,0.0843603412400092,3.2,14.3,25,10
"554","11.4","1",0.0526315789473684,"n",0.04,0.086840206375213,3.1,14.4,25,10
"555","12.8","1",0.0526315789473684,"n",0.04,0.0872535021730483,3.1,14.6,25,10
"556","14.3","1",0.0526315789473684,"n",0.04,0.0876612265970038,3.1,14.8,25,10
"557","15.7","1",0.0526315789473684,"n",0.04,0.0880635174618924,3.2,14.8,25,10
"558","17.1","1",0.0555555555555556,"n",0.0416666666666667,0.097143317560145,3,15.3,24,10
"559","18.6","1",0.0555555555555556,"n",0.0416666666666667,0.0975563491529079,3,15.3,24,10
"560","20","1",0.0555555555555556,"n",0.0416666666666667,0.0979639869450555,3,15.3,24,10
"561","7.1","2",0.35,"n",0.269230769230769,0.0759582144983684,3.4,13.8,26,10
"562","8.5","2",0.333333333333333,"n",0.24,0.0849647645163401,3.1,14.3,25,10
"563","10","2",0.368421052631579,"n",0.28,0.0843603412400092,3.2,14.3,25,10
"564","11.4","2",0.315789473684211,"n",0.24,0.086840206375213,3.1,14.4,25,10
"565","12.8","2",0.315789473684211,"n",0.24,0.0872535021730483,3.1,14.6,25,10
"566","14.3","2",0.315789473684211,"n",0.24,0.0876612265970038,3.1,14.8,25,10
"567","15.7","2",0.315789473684211,"n",0.24,0.0880635174618924,3.2,14.8,25,10
"568","17.1","2",0.333333333333333,"n",0.25,0.097143317560145,3,15.3,24,10
"569","18.6","2",0.333333333333333,"n",0.25,0.0975563491529079,3,15.3,24,10
"570","20","2",0.333333333333333,"n",0.25,0.0979639869450555,3,15.3,24,10
"571","7.1","0",0,"a",0,0.0759582144983684,3.4,13.8,26,10
"572","8.5","0",0,"a",0,0.0849647645163401,3.1,14.3,25,10
"573","10","0",0,"a",0,0.0843603412400092,3.2,14.3,25,10
"574","11.4","0",0,"a",0,0.086840206375213,3.1,14.4,25,10
"575","12.8","0",0,"a",0,0.0872535021730483,3.1,14.6,25,10
"576","14.3","0",0,"a",0,0.0876612265970038,3.1,14.8,25,10
"577","15.7","0",0,"a",0,0.0880635174618924,3.2,14.8,25,10
"578","17.1","0",0,"a",0,0.097143317560145,3,15.3,24,10
"579","18.6","0",0,"a",0,0.0975563491529079,3,15.3,24,10
"580","20","0",0,"a",0,0.0979639869450555,3,15.3,24,10
"581","7.1","1",0.333333333333333,"a",0.0769230769230769,0.0759582144983684,3.4,13.8,26,10
"582","8.5","1",0.142857142857143,"a",0.04,0.0849647645163401,3.1,14.3,25,10
"583","10","1",0.333333333333333,"a",0.08,0.0843603412400092,3.2,14.3,25,10
"584","11.4","1",0,"a",0,0.086840206375213,3.1,14.4,25,10
"585","12.8","1",0,"a",0,0.0872535021730483,3.1,14.6,25,10
"586","14.3","1",0,"a",0,0.0876612265970038,3.1,14.8,25,10
"587","15.7","1",0,"a",0,0.0880635174618924,3.2,14.8,25,10
"588","17.1","1",0,"a",0,0.097143317560145,3,15.3,24,10
"589","18.6","1",0,"a",0,0.0975563491529079,3,15.3,24,10
"590","20","1",0,"a",0,0.0979639869450555,3,15.3,24,10
"591","7.1","2",0.666666666666667,"a",0.153846153846154,0.0759582144983684,3.4,13.8,26,10
"592","8.5","2",0.857142857142857,"a",0.24,0.0849647645163401,3.1,14.3,25,10
"593","10","2",0.666666666666667,"a",0.16,0.0843603412400092,3.2,14.3,25,10
"594","11.4","2",1,"a",0.24,0.086840206375213,3.1,14.4,25,10
"595","12.8","2",1,"a",0.24,0.0872535021730483,3.1,14.6,25,10
"596","14.3","2",1,"a",0.24,0.0876612265970038,3.1,14.8,25,10
"597","15.7","2",1,"a",0.24,0.0880635174618924,3.2,14.8,25,10
"598","17.1","2",1,"a",0.25,0.097143317560145,3,15.3,24,10
"599","18.6","2",1,"a",0.25,0.0975563491529079,3,15.3,24,10
"600","20","2",1,"a",0.25,0.0979639869450555,3,15.3,24,10
