"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"122","8.5","0",0.5,"n",0.238095238095238,0.142258277691715,1.7,21.1,21,0.0808905333153078,0.5,1,2
"123","10","0",0,"n",0,0.148082454704194,1.9,22.9,22,0.101598148942839,0.5,1,2
"124","11.4","0",0,"n",0,0.143811999151088,2.1,22.9,23,0.104828335740565,0.5,1,2
"125","12.8","0",0,"n",0,0.216182522520295,1.1,27.3,18,0.137256635097068,0.5,1,2
"126","14.3","0",0,"n",0,0.151651939857146,2.1,26.6,23,0.149624696786734,0.5,1,2
"127","15.7","0",0,"n",0,0.0861727115715587,4.4,22.7,31,0.148256093072167,0.5,1,2
"128","17.1","0",0,"n",0,0.102553803413268,4.5,26.3,29,0.18180159202578,0.5,1,2
"129","18.6","0",0,"n",0,0.0848239480864099,5.1,25.1,32,0.191424223305194,0.5,1,2
"130","20","0",0,"n",0,0.0991025377852096,4.1,28.3,30,0.212354408853828,0.5,1,2
"131","7.1","1",0,"n",0,0.202104543431828,0.600000000000001,19.2,17,0.0581388249819421,0.5,1,2
"132","8.5","1",0,"n",0,0.142258277691715,1.7,21.1,21,0.0808905333153078,0.5,1,2
"133","10","1",0,"n",0,0.148082454704194,1.9,22.9,22,0.101598148942839,0.5,1,2
"134","11.4","1",0,"n",0,0.143811999151088,2.1,22.9,23,0.104828335740565,0.5,1,2
"135","12.8","1",0,"n",0,0.216182522520295,1.1,27.3,18,0.137256635097068,0.5,1,2
"136","14.3","1",0,"n",0,0.151651939857146,2.1,26.6,23,0.149624696786734,0.5,1,2
"137","15.7","1",0,"n",0,0.0861727115715587,4.4,22.7,31,0.148256093072167,0.5,1,2
"138","17.1","1",0,"n",0,0.102553803413268,4.5,26.3,29,0.18180159202578,0.5,1,2
"139","18.6","1",0,"n",0,0.0848239480864099,5.1,25.1,32,0.191424223305194,0.5,1,2
"140","20","1",0.2,"n",0.0333333333333333,0.0991025377852096,4.1,28.3,30,0.212354408853828,0.5,1,2
"141","7.1","2",1,"n",0.294117647058824,0.202104543431828,0.600000000000001,19.2,17,0.0581388249819421,0.5,1,2
"142","8.5","2",0.5,"n",0.238095238095238,0.142258277691715,1.7,21.1,21,0.0808905333153078,0.5,1,2
"143","10","2",1,"n",0.227272727272727,0.148082454704194,1.9,22.9,22,0.101598148942839,0.5,1,2
"144","11.4","2",1,"n",0.217391304347826,0.143811999151088,2.1,22.9,23,0.104828335740565,0.5,1,2
"145","12.8","2",1,"n",0.277777777777778,0.216182522520295,1.1,27.3,18,0.137256635097068,0.5,1,2
"146","14.3","2",1,"n",0.217391304347826,0.151651939857146,2.1,26.6,23,0.149624696786734,0.5,1,2
"147","15.7","2",1,"n",0.161290322580645,0.0861727115715587,4.4,22.7,31,0.148256093072167,0.5,1,2
"148","17.1","2",1,"n",0.172413793103448,0.102553803413268,4.5,26.3,29,0.18180159202578,0.5,1,2
