"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","qn"
"205","12.8","2",0.333333333333333,"n",0.2,0.136401163207502,1.5,16.1,20,0.8
"206","14.3","2",0.235294117647059,"n",0.16,0.0855721053674775,3.2,14.8,25,0.8
"207","15.7","2",0.294117647058824,"n",0.2,0.085964202391257,3.2,14.8,25,0.8
"208","17.1","2",0.277777777777778,"n",0.2,0.0874000858591923,3.1,15,25,0.8
"209","18.6","2",0.25,"n",0.178571428571429,0.0655285212935328,3.8,13.8,28,0.8
"210","20","2",0.277777777777778,"n",0.185185185185185,0.0697165181924295,3.7,14.2,27,0.8
"211","7.1","0",0.466666666666667,"a",0.333333333333333,0.112233601616312,2.3,15.3,21,0.8
"212","8.5","0",0.5,"a",0.380952380952381,0.111357136566345,2.4,15.5,21,0.8
"213","10","0",0.529411764705882,"a",0.409090909090909,0.100510201457987,2.6,15.2,22,0.8
"214","11.4","0",0.333333333333333,"a",0.181818181818182,0.107213150016103,2.1,15.3,22,0.8
"215","12.8","0",0,"a",0,0.136401163207502,1.5,16.1,20,0.8
"216","14.3","0",0,"a",0,0.0855721053674775,3.2,14.8,25,0.8
"217","15.7","0",0,"a",0,0.085964202391257,3.2,14.8,25,0.8
"218","17.1","0",0,"a",0,0.0874000858591923,3.1,15,25,0.8
"219","18.6","0",0,"a",0,0.0655285212935328,3.8,13.8,28,0.8
"220","20","0",0,"a",0,0.0697165181924295,3.7,14.2,27,0.8
"221","7.1","1",0,"a",0,0.112233601616312,2.3,15.3,21,0.8
"222","8.5","1",0,"a",0,0.111357136566345,2.4,15.5,21,0.8
"223","10","1",0,"a",0,0.100510201457987,2.6,15.2,22,0.8
"224","11.4","1",0,"a",0,0.107213150016103,2.1,15.3,22,0.8
"225","12.8","1",0,"a",0,0.136401163207502,1.5,16.1,20,0.8
"226","14.3","1",0,"a",0,0.0855721053674775,3.2,14.8,25,0.8
"227","15.7","1",0.125,"a",0.04,0.085964202391257,3.2,14.8,25,0.8
"228","17.1","1",0,"a",0,0.0874000858591923,3.1,15,25,0.8
"229","18.6","1",0.125,"a",0.0357142857142857,0.0655285212935328,3.8,13.8,28,0.8
"230","20","1",0.333333333333333,"a",0.111111111111111,0.0697165181924295,3.7,14.2,27,0.8
"231","7.1","2",0.533333333333333,"a",0.380952380952381,0.112233601616312,2.3,15.3,21,0.8
"232","8.5","2",0.5,"a",0.380952380952381,0.111357136566345,2.4,15.5,21,0.8
