"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya","yn","yn_ya"
"197","15.7","1",0.3,"n",0.12,0.120064517539141,2.5,14.8,25,0.7,1,1.42857142857143
"198","17.1","1",0,"n",0,0.131419381811858,2.2,15,25,0.7,1,1.42857142857143
"199","18.6","1",0,"n",0,0.150175176697418,1.8,15.3,24,0.7,1,1.42857142857143
"200","20","1",0.166666666666667,"n",0.0416666666666667,0.149713213783154,1.8,15.3,24,0.7,1,1.42857142857143
"201","7.1","2",1,"n",0.333333333333333,0.135255750364501,2.1,14.4,24,0.7,1,1.42857142857143
"202","8.5","2",1,"n",0.2,0.131540362024314,2,14.3,25,0.7,1,1.42857142857143
"203","10","2",1,"n",0.227272727272727,0.173756870364671,1.5,15.2,22,0.7,1,1.42857142857143
"204","11.4","2",1,"n",0.32,0.126979616802463,2.2,14.4,25,0.7,1,1.42857142857143
"205","12.8","2",1,"n",0.269230769230769,0.118671109242303,2.3,14.3,26,0.7,1,1.42857142857143
"206","14.3","2",1,"n",0.217391304347826,0.160157555404957,1.7,15.4,23,0.7,1,1.42857142857143
"207","15.7","2",0.7,"n",0.28,0.120064517539141,2.5,14.8,25,0.7,1,1.42857142857143
"208","17.1","2",1,"n",0.28,0.131419381811858,2.2,15,25,0.7,1,1.42857142857143
"209","18.6","2",1,"n",0.208333333333333,0.150175176697418,1.8,15.3,24,0.7,1,1.42857142857143
"210","20","2",0.833333333333333,"n",0.208333333333333,0.149713213783154,1.8,15.3,24,0.7,1,1.42857142857143
"211","7.1","0",0.5625,"a",0.375,0.135255750364501,2.1,14.4,24,0.7,1,1.42857142857143
"212","8.5","0",0.45,"a",0.36,0.131540362024314,2,14.3,25,0.7,1,1.42857142857143
"213","10","0",0.529411764705882,"a",0.409090909090909,0.173756870364671,1.5,15.2,22,0.7,1,1.42857142857143
"214","11.4","0",0.588235294117647,"a",0.4,0.126979616802463,2.2,14.4,25,0.7,1,1.42857142857143
"215","12.8","0",0.526315789473684,"a",0.384615384615385,0.118671109242303,2.3,14.3,26,0.7,1,1.42857142857143
"216","14.3","0",0.5,"a",0.391304347826087,0.160157555404957,1.7,15.4,23,0.7,1,1.42857142857143
"217","15.7","0",0.6,"a",0.36,0.120064517539141,2.5,14.8,25,0.7,1,1.42857142857143
"218","17.1","0",0.555555555555556,"a",0.4,0.131419381811858,2.2,15,25,0.7,1,1.42857142857143
"219","18.6","0",0.526315789473684,"a",0.416666666666667,0.150175176697418,1.8,15.3,24,0.7,1,1.42857142857143
"220","20","0",0.611111111111111,"a",0.458333333333333,0.149713213783154,1.8,15.3,24,0.7,1,1.42857142857143
"221","7.1","1",0.3125,"a",0.208333333333333,0.135255750364501,2.1,14.4,24,0.7,1,1.42857142857143
"222","8.5","1",0.35,"a",0.28,0.131540362024314,2,14.3,25,0.7,1,1.42857142857143
"223","10","1",0.0588235294117647,"a",0.0454545454545455,0.173756870364671,1.5,15.2,22,0.7,1,1.42857142857143
