"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W"
"141",21,"10",17,"n",0.907742458902302,0.00588404409397617,2,0.126328242298429,12.9
"142",22,"10",19,"a",0.896859170173494,0.00619565039364396,2,0.113298642557245,13
"143",23,"10",21,"n",0.907742458902302,0.0069081641797178,2,0.102845988385207,13
"144",24,"10",23,"n",0.907742458902302,0.0071211472353121,2,0.0933576703850251,13.1
"145",25,"10",25,"a",0.886099915789121,0.00767867339332099,1,0.0827242238664392,13.2
"146",26,"10",26,"o",0.896859170173494,0.00842466747551409,0,0.074191978770101,13.3
"147",27,"10",26,"o",0.896859170173494,0.0089205620041669,0,0.0665397565132822,13.6
"148",28,"10",26,"o",0.896859170173494,0.00878197228673489,0,0.0596767908100486,14
"149",29,"10",26,"o",0.896859170173494,0.00835951466274397,0,0.0535216770845174,14.4
"150",30,"10",26,"o",0.896859170173494,0.00839793629205391,0,0.048001406896314,14.8
"151",31,"10",26,"o",0.896859170173494,0.00795149105692802,0,0.0430505019561883,15.2
"152",32,"10",26,"o",0.896859170173494,0.00786925920289196,0,0.0386102374599794,15.6
"153",33,"10",26,"o",0.896859170173494,0.00779790495584764,0,0.0346279455285587,16
"154",34,"10",26,"o",0.896859170173494,0.00741329414130574,0,0.0310563904915561,16.5
"155",35,"10",26,"o",0.896859170173494,0.00727786731975775,0,0.027853208604841,17
"156",36,"10",26,"o",0.896859170173494,0.00686286757955782,0,0.0249804055560069,17.5
"157",37,"10",26,"o",0.896859170173494,0.00674056637899184,0,0.0224039057975577,18
"158",38,"10",26,"o",0.896859170173494,0.00655439480282065,0,0.0200931483622427,18.5
"159",39,"10",26,"o",0.896859170173494,0.00617498652714641,0,0.0180207243663339,19
"160",40,"10",26,"o",0.896859170173494,0.00621514323161019,0,0.0161620519011154,19.5
"161",41,"10",26,"o",0.896859170173494,0.00566841935449474,0,0.0144950844563353,20
"162",42,"10",26,"o",0.896859170173494,0.00568475966059806,0,0.0130000494171036,20.5
"163",43,"10",26,"o",0.896859170173494,0.00577325838638729,0,0.011659213532438,21
"164",44,"10",26,"o",0.896859170173494,0.00554786309070093,0,0.0104566725735779,21.5
"165",45,"10",26,"o",0.896859170173494,0.00551673873022963,0,0.00937816268711498,22
"166",46,"10",26,"o",0.896859170173494,0.00566828615715003,0,0.00841089120531796,22.5
"167",47,"10",26,"o",0.896859170173494,0.00582595565722791,0,0.007543384906821,23
"168",48,"10",26,"o",0.896859170173494,0.00570796109754602,0,0.00676535392783074,23.5
"169",49,"10",26,"o",0.896859170173494,0.00572185608538336,0,0.00606756970964426,23.9
"170",50,"10",26,"o",0.896859170173494,0.00596717858171815,0,0.00544175553476138,24.3
"171",51,"10",26,"o",0.896859170173494,0.00622742540952471,0,0.00488048835319311,24.7
"172",52,"10",26,"o",0.896859170173494,0.00650338769599635,0,0.00437711073448617,25.1
"173",53,"10",26,"o",0.896859170173494,0.00679550834592234,0,0.00392565190108876,25.5
"174",54,"10",26,"o",0.896859170173494,0.00701399799086737,0,0.00352075690640046,25.9
"175",55,"10",26,"o",0.896859170173494,0.00752389891405794,0,0.00315762311745691,26.2
"176",56,"10",26,"o",0.896859170173494,0.0080838597652318,0,0.00283194324884305,26.5
"177",57,"10",26,"o",0.896859170173494,0.0087008066264851,0,0.0025398542721358,26.8
"178",58,"10",26,"o",0.896859170173494,0.00938297296491719,0,0.00227789159486932,27.1
"179",59,"10",26,"o",0.896859170173494,0.0100430883625846,0,0.00204294796551967,27.4
"180",60,"10",26,"o",NA,NA,NA,NA,27.6
"181",1,"11.4",1,"a",0.897598350181794,0.00188181261913791,2,0.897598350181794,11.4
"182",2,"11.4",3,"n",0.908490157535681,0.00209649741307655,0,0.815459266560426,11.4
"183",3,"11.4",3,"n",0.908490157535681,0.00221682414008187,0,0.740836717541412,11.6
"184",4,"11.4",3,"n",0.908490157535681,0.00234662977107432,0,0.673042866227414,11.8
"185",5,"11.4",3,"n",0.908490157535681,0.00248688261597398,0,0.61145281956721,12
"186",6,"11.4",3,"n",0.908490157535681,0.00262588845638114,0,0.555498868374251,12.2
"187",7,"11.4",3,"n",0.908490157535681,0.00278377056336267,0,0.504665254440215,12.4
"188",8,"11.4",3,"n",0.908490157535681,0.00295219745014184,0,0.458483416509176,12.6
"189",9,"11.4",3,"n",0.908490157535681,0.00307211680961369,0,0.416527671291918,12.8
"190",10,"11.4",3,"n",0.908490157535681,0.00322595274095132,0,0.378411289709965,13
"191",11,"11.4",3,"n",0.908490157535681,0.00334931556020526,2,0.343782932201887,13.2
"192",12,"11.4",5,"a",0.897598350181794,0.00349050742186701,2,0.308578992765073,13.3
"193",13,"11.4",7,"n",0.908490157535681,0.00388871862471679,2,0.280340977749343,13.3
"194",14,"11.4",9,"n",0.908490157535681,0.0041369495845612,0,0.254687019039207,13.4
"195",15,"11.4",9,"n",0.908490157535681,0.00427598138159517,2,0.231380650049223,13.6
"196",16,"11.4",11,"a",0.897598350181794,0.00455898998910259,2,0.207686889748173,13.7
"197",17,"11.4",13,"n",0.908490157535681,0.00507909800433483,0,0.188681495185413,13.7
"198",18,"11.4",13,"n",0.908490157535681,0.00514363704873544,2,0.171415281285064,13.9
"199",19,"11.4",15,"n",0.908490157535681,0.00543738621944017,2,0.155729095898691,14
"200",20,"11.4",17,"n",0.908490157535681,0.00569392095888123,0,0.141478350865891,14.1
"201",21,"11.4",17,"n",0.908490157535681,0.00599966001743373,2,0.128531689266042,14.3
"202",22,"11.4",19,"a",0.897598350181794,0.00648206331682613,2,0.115369832231278,14.4
"203",23,"11.4",21,"n",0.908490157535681,0.00722156331449729,2,0.104812357058659,14.4
"204",24,"11.4",23,"n",0.908490157535681,0.00761026887303649,2,0.095220994775907,14.5
"205",25,"11.4",25,"a",0.886830669173243,0.0078448982588337,1,0.0844448985164595,14.6
"206",26,"11.4",26,"o",0.897598350181794,0.00866569701282808,0,0.0757976015896431,14.7
"207",27,"11.4",26,"o",0.897598350181794,0.0090261201744132,0,0.0680358021346006,15
"208",28,"11.4",26,"o",0.897598350181794,0.00899696766440444,0,0.0610688237493125,15.4
"209",29,"11.4",26,"o",0.897598350181794,0.0085364357407587,0,0.0548152754449256,15.8
"210",30,"11.4",26,"o",0.897598350181794,0.00877983631344418,0,0.0492021008041259,16.2
"211",31,"11.4",26,"o",0.897598350181794,0.00856245312337365,0,0.0441637245072617,16.6
"212",32,"11.4",26,"o",0.897598350181794,0.00818106499722531,0,0.0396412862556014,17
"213",33,"11.4",26,"o",0.897598350181794,0.00809472197624926,0,0.035581953142112,17.4
"214",34,"11.4",26,"o",0.897598350181794,0.00773788336494748,0,0.0319383024366057,17.9
"215",35,"11.4",26,"o",0.897598350181794,0.00750379933670311,0,0.0286677675747044,18.4
"216",36,"11.4",26,"o",0.897598350181794,0.00695857864109933,0,0.0257321408784498,18.9
"217",37,"11.4",26,"o",0.897598350181794,0.00683551063088647,0,0.0230971271991421,19.4
"218",38,"11.4",26,"o",0.897598350181794,0.00670481748454269,0,0.020731943267889,19.9
"219",39,"11.4",26,"o",0.897598350181794,0.00633269579555248,0,0.0186089580733197,20.4
"220",40,"11.4",26,"o",0.897598350181794,0.00630511998207446,0,0.0167033700652139,20.9
"221",41,"11.4",26,"o",0.897598350181794,0.00604119621036612,0,0.014992917413012,21.4
"222",42,"11.4",26,"o",0.897598350181794,0.00589561222622279,0,0.0134576179343315,21.9
"223",43,"11.4",26,"o",0.897598350181794,0.00585856159511326,0,0.0120795356552329,22.4
"224",44,"11.4",26,"o",0.897598350181794,0.00587846467881886,0,0.0108425712750992,22.9
"225",45,"11.4",26,"o",0.897598350181794,0.00559938127027014,0,0.00973227408825753,23.4
"226",46,"11.4",26,"o",0.897598350181794,0.00575255893243835,0,0.00873567316513698,23.9
"227",47,"11.4",26,"o",0.897598350181794,0.00591184755462733,0,0.00784112582075433,24.4
"228",48,"11.4",26,"o",0.897598350181794,0.00593295017103196,0,0.00703818160027695,24.9
"229",49,"11.4",26,"o",0.897598350181794,0.00580733606147989,0,0.00631746019268845,25.3
