"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yo"
"180","20","2",1,"a",0.25,0.182826922501768,2.2,38.2,20,0.244284829464863,0.9
"181","7.1","0",0.818181818181818,"n",0.76271186440678,0.00522412680401521,11.8,0,59,0.0292311364051188,1.1
"182","8.5","0",0.785714285714286,"n",0.745762711864407,0.00558411098386617,13.1,0,59,0.0369805814277929,1.1
"183","10","0",0.625,"n",0.571428571428571,0.0430642719185213,5.9,15.7,35,0.080728136870143,1.1
"184","11.4","0",0.6,"n",0.545454545454545,0.0535348228907006,6,19.1,33,0.111064207316688,1.1
"185","12.8","0",0.642857142857143,"n",0.5625,0.061002066046936,6.2,21.3,32,0.13604342485793,1.1
"186","14.3","0",0.785714285714286,"n",0.745762711864407,0.00719068788470355,20,0,59,0.0965414913248893,1.1
"187","15.7","0",0.785714285714286,"n",0.745762711864407,0.0076339936259695,21.1,0,59,0.112756290261972,1.1
"188","17.1","0",0.785714285714286,"n",0.745762711864407,0.00795519038707997,22.7,0,59,0.132907539610102,1.1
"189","18.6","0",0.851851851851852,"n",0.779661016949153,0.00878906354816418,22.7,0,59,0.143111566399478,1.1
"190","20","0",0.818181818181818,"n",0.76271186440678,0.0088825103738855,24.3,0,59,0.162506566226943,1.1
"191","7.1","1",0.0545454545454545,"n",0.0508474576271186,0.00522412680401521,11.8,0,59,0.0292311364051188,1.1
"192","8.5","1",0.0714285714285714,"n",0.0677966101694915,0.00558411098386617,13.1,0,59,0.0369805814277929,1.1
"193","10","1",0.15625,"n",0.142857142857143,0.0430642719185213,5.9,15.7,35,0.080728136870143,1.1
"194","11.4","1",0.166666666666667,"n",0.151515151515152,0.0535348228907006,6,19.1,33,0.111064207316688,1.1
"195","12.8","1",0.107142857142857,"n",0.09375,0.061002066046936,6.2,21.3,32,0.13604342485793,1.1
"196","14.3","1",0.0892857142857143,"n",0.0847457627118644,0.00719068788470355,20,0,59,0.0965414913248893,1.1
"197","15.7","1",0.0892857142857143,"n",0.0847457627118644,0.0076339936259695,21.1,0,59,0.112756290261972,1.1
"198","17.1","1",0.0714285714285714,"n",0.0677966101694915,0.00795519038707997,22.7,0,59,0.132907539610102,1.1
"199","18.6","1",0,"n",0,0.00878906354816418,22.7,0,59,0.143111566399478,1.1
"200","20","1",0.0545454545454545,"n",0.0508474576271186,0.0088825103738855,24.3,0,59,0.162506566226943,1.1
