"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yo"
"221","7.1","1",0,"a",0,0.00522412680401521,11.8,0,59,0.0292311364051188,1.1
"222","8.5","1",0.333333333333333,"a",0.0169491525423729,0.00558411098386617,13.1,0,59,0.0369805814277929,1.1
"223","10","1",0,"a",0,0.0430642719185213,5.9,15.7,35,0.080728136870143,1.1
"224","11.4","1",0,"a",0,0.0535348228907006,6,19.1,33,0.111064207316688,1.1
"225","12.8","1",0,"a",0,0.061002066046936,6.2,21.3,32,0.13604342485793,1.1
"226","14.3","1",0,"a",0,0.00719068788470355,20,0,59,0.0965414913248893,1.1
"227","15.7","1",0,"a",0,0.0076339936259695,21.1,0,59,0.112756290261972,1.1
"228","17.1","1",0.333333333333333,"a",0.0169491525423729,0.00795519038707997,22.7,0,59,0.132907539610102,1.1
"229","18.6","1",0.2,"a",0.0169491525423729,0.00878906354816418,22.7,0,59,0.143111566399478,1.1
"230","20","1",0,"a",0,0.0088825103738855,24.3,0,59,0.162506566226943,1.1
"231","7.1","2",1,"a",0.0677966101694915,0.00522412680401521,11.8,0,59,0.0292311364051188,1.1
"232","8.5","2",0.666666666666667,"a",0.0338983050847458,0.00558411098386617,13.1,0,59,0.0369805814277929,1.1
"233","10","2",1,"a",0.0857142857142857,0.0430642719185213,5.9,15.7,35,0.080728136870143,1.1
"234","11.4","2",1,"a",0.0909090909090909,0.0535348228907006,6,19.1,33,0.111064207316688,1.1
"235","12.8","2",1,"a",0.125,0.061002066046936,6.2,21.3,32,0.13604342485793,1.1
"236","14.3","2",1,"a",0.0508474576271186,0.00719068788470355,20,0,59,0.0965414913248893,1.1
"237","15.7","2",1,"a",0.0508474576271186,0.0076339936259695,21.1,0,59,0.112756290261972,1.1
"238","17.1","2",0.666666666666667,"a",0.0338983050847458,0.00795519038707997,22.7,0,59,0.132907539610102,1.1
"239","18.6","2",0.8,"a",0.0677966101694915,0.00878906354816418,22.7,0,59,0.143111566399478,1.1
"240","20","2",1,"a",0.0677966101694915,0.0088825103738855,24.3,0,59,0.162506566226943,1.1
"241","7.1","0",0.818181818181818,"n",0.76271186440678,0.00522412680401521,11.8,0,59,0.0292311364051188,1.3
"242","8.5","0",0.785714285714286,"n",0.745762711864407,0.00558411098386617,13.1,0,59,0.0369805814277929,1.3
"243","10","0",0.785714285714286,"n",0.745762711864407,0.00609650181085617,14.8,0,59,0.0478786262215596,1.3
"244","11.4","0",0.785714285714286,"n",0.745762711864407,0.00654612468566469,16.9,0,59,0.0633729542669127,1.3
"245","12.8","0",0.785714285714286,"n",0.745762711864407,0.00686958771214325,18.5,0,59,0.07864182444528,1.3
"246","14.3","0",0.785714285714286,"n",0.745762711864407,0.00719068788470355,20,0,59,0.0965414913248893,1.3
"247","15.7","0",0.785714285714286,"n",0.745762711864407,0.0076339936259695,21.1,0,59,0.112756290261972,1.3
"248","17.1","0",0.785714285714286,"n",0.745762711864407,0.00795519038707997,22.7,0,59,0.132907539610102,1.3
"249","18.6","0",0.851851851851852,"n",0.779661016949153,0.00878906354816418,22.7,0,59,0.143111566399478,1.3
"250","20","0",0.818181818181818,"n",0.76271186440678,0.0088825103738855,24.3,0,59,0.162506566226943,1.3
"251","7.1","1",0.0545454545454545,"n",0.0508474576271186,0.00522412680401521,11.8,0,59,0.0292311364051188,1.3
"252","8.5","1",0.0714285714285714,"n",0.0677966101694915,0.00558411098386617,13.1,0,59,0.0369805814277929,1.3
"253","10","1",0.0892857142857143,"n",0.0847457627118644,0.00609650181085617,14.8,0,59,0.0478786262215596,1.3
"254","11.4","1",0.0892857142857143,"n",0.0847457627118644,0.00654612468566469,16.9,0,59,0.0633729542669127,1.3
"255","12.8","1",0.0892857142857143,"n",0.0847457627118644,0.00686958771214325,18.5,0,59,0.07864182444528,1.3
"256","14.3","1",0.0892857142857143,"n",0.0847457627118644,0.00719068788470355,20,0,59,0.0965414913248893,1.3
"257","15.7","1",0.0892857142857143,"n",0.0847457627118644,0.0076339936259695,21.1,0,59,0.112756290261972,1.3
"258","17.1","1",0.0714285714285714,"n",0.0677966101694915,0.00795519038707997,22.7,0,59,0.132907539610102,1.3
"259","18.6","1",0,"n",0,0.00878906354816418,22.7,0,59,0.143111566399478,1.3
"260","20","1",0.0545454545454545,"n",0.0508474576271186,0.0088825103738855,24.3,0,59,0.162506566226943,1.3
"261","7.1","2",0.127272727272727,"n",0.11864406779661,0.00522412680401521,11.8,0,59,0.0292311364051188,1.3
"262","8.5","2",0.142857142857143,"n",0.135593220338983,0.00558411098386617,13.1,0,59,0.0369805814277929,1.3
