"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"129","18.6","0",0,"n",0,0.0889981498803467,17,0,59,0.112133316726237,0.5,1,2
"130","20","0",0,"n",0,0.0915369321949101,17.7,0,59,0.126892577461897,0.5,1,2
"131","7.1","1",0,"n",0,0.0648139879539391,9.1,0,59,0.0242341681943026,0.5,1,2
"132","8.5","1",0,"n",0,0.07195586921275,10.6,0,59,0.0315244260424192,0.5,1,2
"133","10","1",0,"n",0,0.0735828114471668,11.2,0,59,0.038709535911206,0.5,1,2
"134","11.4","1",0,"n",0,0.0766348704528518,12.1,0,59,0.0462105175300214,0.5,1,2
"135","12.8","1",0,"n",0,0.0787156288164054,13.5,0,59,0.0581706646584914,0.5,1,2
"136","14.3","1",0,"n",0,0.0798861007732619,14.9,0,59,0.0740501335417468,0.5,1,2
"137","15.7","1",0,"n",0,0.0866292209586766,15,0,59,0.0820232138360468,0.5,1,2
"138","17.1","1",0,"n",0,0.0876529582435664,16,0,59,0.095476908555013,0.5,1,2
"139","18.6","1",0,"n",0,0.0889981498803467,17,0,59,0.112133316726237,0.5,1,2
"140","20","1",0,"n",0,0.0915369321949101,17.7,0,59,0.126892577461897,0.5,1,2
"141","7.1","2",1,"n",0.0847457627118644,0.0648139879539391,9.1,0,59,0.0242341681943026,0.5,1,2
"142","8.5","2",1,"n",0.0847457627118644,0.07195586921275,10.6,0,59,0.0315244260424192,0.5,1,2
"143","10","2",1,"n",0.0847457627118644,0.0735828114471668,11.2,0,59,0.038709535911206,0.5,1,2
"144","11.4","2",1,"n",0.0847457627118644,0.0766348704528518,12.1,0,59,0.0462105175300214,0.5,1,2
"145","12.8","2",1,"n",0.0847457627118644,0.0787156288164054,13.5,0,59,0.0581706646584914,0.5,1,2
"146","14.3","2",1,"n",0.0847457627118644,0.0798861007732619,14.9,0,59,0.0740501335417468,0.5,1,2
"147","15.7","2",1,"n",0.0847457627118644,0.0866292209586766,15,0,59,0.0820232138360468,0.5,1,2
"148","17.1","2",1,"n",0.0847457627118644,0.0876529582435664,16,0,59,0.095476908555013,0.5,1,2
"149","18.6","2",1,"n",0.0847457627118644,0.0889981498803467,17,0,59,0.112133316726237,0.5,1,2
"150","20","2",1,"n",0.0847457627118644,0.0915369321949101,17.7,0,59,0.126892577461897,0.5,1,2
